-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -1.334877e+01  2.042366e+00   0.000000e+00   9.360272e+01   -1.679030e+02  5.890916e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -1.336225e+01  2.055343e+00   0.000000e+00   9.364364e+01   -1.679760e+02  5.891481e+01   0.000000e+00   0.000000e+00   -0.000000e+00  4.152794e-19  
2         -1.337582e+01  2.071577e+00   0.000000e+00   9.369813e+01   -1.680733e+02  5.892774e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.308992e-18 
3         -1.338561e+01  2.087947e+00   0.000000e+00   9.376589e+01   -1.681942e+02  5.895472e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.705236e-18  
4         -1.339010e+01  2.102539e+00   0.000000e+00   9.384497e+01   -1.683353e+02  5.899767e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.142731e-18 
5         -1.338932e+01  2.114724e+00   0.000000e+00   9.393311e+01   -1.684926e+02  5.905544e+01   0.000000e+00   0.000000e+00   -0.000000e+00  6.764839e-19  
6         -1.338391e+01  2.124547e+00   0.000000e+00   9.402798e+01   -1.686620e+02  5.912559e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.030269e-18 
7         -1.337474e+01  2.132290e+00   0.000000e+00   9.412737e+01   -1.688397e+02  5.920529e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.466410e-18  
8         -1.336252e+01  2.138266e+00   0.000000e+00   9.422948e+01   -1.690225e+02  5.929220e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.258345e-18 
9         -1.334781e+01  2.142704e+00   0.000000e+00   9.433302e+01   -1.692081e+02  5.938454e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.622126e-18  
10        -1.333146e+01  2.145893e+00   0.000000e+00   9.443601e+01   -1.693930e+02  5.947966e+01   0.000000e+00   0.000000e+00   0.000000e+00   -6.038060e-18 
11        -1.331428e+01  2.148156e+00   0.000000e+00   9.453650e+01   -1.695738e+02  5.957491e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.105697e-18 
12        -1.329660e+01  2.149676e+00   0.000000e+00   9.463364e+01   -1.697490e+02  5.966908e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.649084e-20 
13        -1.327859e+01  2.150533e+00   0.000000e+00   9.472731e+01   -1.699182e+02  5.976181e+01   0.000000e+00   0.000000e+00   0.000000e+00   -8.849387e-19 
14        -1.326052e+01  2.150834e+00   0.000000e+00   9.481703e+01   -1.700806e+02  5.985224e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.119815e-18  
