
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.000000e+01 * a0, G = 1.077890e+04, G * par = 2.155779e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.835000e+00
     Dipolar cutoffs Rcut = 3.861760e+00, Lcut = 1.373863e+02

QF = 1, QDEPL = 0: h2 = 1.400660e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 6.446430e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.146661e+00, DY = 6.034000e-02, DZ = 6.034000e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 1.820458e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.63717347873e+05   0.000000e+00   -2.118106e+01  1.452983e+01  
1         1.63775979377e+05   0.000000e+00   -2.122105e+01  1.452831e+01  
2         1.63881912731e+05   0.000000e+00   -2.117217e+01  1.452587e+01  
3         1.63989630282e+05   0.000000e+00   -2.094699e+01  1.452404e+01  
4         1.64071589884e+05   0.000000e+00   -2.050573e+01  1.452363e+01  
5         1.64122749939e+05   0.000000e+00   -1.985181e+01  1.452462e+01  
6         1.64150010947e+05   0.000000e+00   -1.901852e+01  1.452658e+01  
7         1.64163036604e+05   0.000000e+00   -1.806787e+01  1.452906e+01  
8         1.64170346800e+05   0.000000e+00   -1.709079e+01  1.453168e+01  
9         1.64178323039e+05   0.000000e+00   -1.619762e+01  1.453417e+01  
10        1.64191084000e+05   0.000000e+00   -1.549510e+01  1.453637e+01  
11        1.64210708678e+05   0.000000e+00   -1.505624e+01  1.453822e+01  
12        1.64237710217e+05   0.000000e+00   -1.490357e+01  1.453969e+01  
13        1.64271702576e+05   0.000000e+00   -1.501548e+01  1.454082e+01  
14        1.64311877383e+05   0.000000e+00   -1.534107e+01  1.454168e+01  
15        1.64357665052e+05   0.000000e+00   -1.581248e+01  1.454229e+01  
16        1.64408321829e+05   0.000000e+00   -1.635577e+01  1.454270e+01  
17        1.64463760749e+05   0.000000e+00   -1.690520e+01  1.454295e+01  
18        1.64523710893e+05   0.000000e+00   -1.741310e+01  1.454305e+01  
19        1.64586751502e+05   0.000000e+00   -1.785148e+01  1.454310e+01  
20        1.64649813254e+05   0.000000e+00   -1.820799e+01  1.454321e+01  
21        1.64708249032e+05   0.000000e+00   -1.848126e+01  1.454358e+01  
22        1.64756920977e+05   0.000000e+00   -1.867716e+01  1.454440e+01  
23        1.64791253319e+05   0.000000e+00   -1.880545e+01  1.454580e+01  
24        1.64809319980e+05   0.000000e+00   -1.887730e+01  1.454783e+01  
25        1.64812352786e+05   0.000000e+00   -1.890302e+01  1.455036e+01  
26        1.64805544102e+05   0.000000e+00   -1.889152e+01  1.455313e+01  
27        1.64796358916e+05   0.000000e+00   -1.885008e+01  1.455580e+01  
28        1.64792976519e+05   0.000000e+00   -1.878462e+01  1.455801e+01  
29        1.64801387383e+05   0.000000e+00   -1.869957e+01  1.455951e+01  
30        1.64824660703e+05   0.000000e+00   -1.859833e+01  1.456019e+01  
31        1.64861958347e+05   0.000000e+00   -1.848375e+01  1.456012e+01  
32        1.64910068870e+05   0.000000e+00   -1.835883e+01  1.455945e+01  
33        1.64963936474e+05   0.000000e+00   -1.822691e+01  1.455842e+01  
34        1.65018628791e+05   0.000000e+00   -1.809179e+01  1.455727e+01  
35        1.65069396585e+05   0.000000e+00   -1.795728e+01  1.455621e+01  
36        1.65112827372e+05   0.000000e+00   -1.782703e+01  1.455541e+01  
37        1.65146220581e+05   0.000000e+00   -1.770402e+01  1.455498e+01  
38        1.65168246903e+05   0.000000e+00   -1.759053e+01  1.455501e+01  
39        1.65178175894e+05   0.000000e+00   -1.748780e+01  1.455552e+01  
40        1.65176417270e+05   0.000000e+00   -1.739605e+01  1.455651e+01  
41        1.65163822158e+05   0.000000e+00   -1.731426e+01  1.455795e+01  
42        1.65142220390e+05   0.000000e+00   -1.724027e+01  1.455976e+01  
43        1.65113831879e+05   0.000000e+00   -1.717087e+01  1.456184e+01  
44        1.65081712366e+05   0.000000e+00   -1.710218e+01  1.456404e+01  
45        1.65049105757e+05   0.000000e+00   -1.702991e+01  1.456622e+01  
46        1.65019694917e+05   0.000000e+00   -1.695001e+01  1.456821e+01  
47        1.64996796858e+05   0.000000e+00   -1.685910e+01  1.456985e+01  
48        1.64983398557e+05   0.000000e+00   -1.675524e+01  1.457099e+01  
49        1.64981354208e+05   0.000000e+00   -1.663850e+01  1.457155e+01  
50        1.64991506227e+05   0.000000e+00   -1.651159e+01  1.457148e+01  
51        1.65013191360e+05   0.000000e+00   -1.638022e+01  1.457077e+01  
52        1.65044680373e+05   0.000000e+00   -1.625301e+01  1.456951e+01  
53        1.65083111502e+05   0.000000e+00   -1.614087e+01  1.456780e+01  
54        1.65125058058e+05   0.000000e+00   -1.605570e+01  1.456579e+01  
55        1.65166588087e+05   0.000000e+00   -1.600850e+01  1.456365e+01  
56        1.65203731807e+05   0.000000e+00   -1.600751e+01  1.456156e+01  
