
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.500000e+01 * a0, G = 1.347362e+04, G * par = 2.694724e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.468000e+00
     Dipolar cutoffs Rcut = 5.847901e+00, Lcut = 1.936235e+02

QF = 1, QDEPL = 0: h2 = 1.696559e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.469722e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.025367e+00, DY = 9.137345e-02, DZ = 9.137345e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 4.174554e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50155418035e+05   0.000000e+00   -3.587658e+00  1.940759e+01  
1         1.50155417976e+05   0.000000e+00   -3.589348e+00  1.940758e+01  
2         1.50155417556e+05   0.000000e+00   -3.591063e+00  1.940757e+01  
3         1.50155416934e+05   0.000000e+00   -3.592484e+00  1.940756e+01  
4         1.50155416241e+05   0.000000e+00   -3.593397e+00  1.940755e+01  
5         1.50155415070e+05   0.000000e+00   -3.593695e+00  1.940754e+01  
6         1.50155413736e+05   0.000000e+00   -3.593357e+00  1.940753e+01  
7         1.50155411902e+05   0.000000e+00   -3.592407e+00  1.940751e+01  
8         1.50155409944e+05   0.000000e+00   -3.590893e+00  1.940749e+01  
9         1.50155407659e+05   0.000000e+00   -3.588887e+00  1.940748e+01  
10        1.50155405302e+05   0.000000e+00   -3.586477e+00  1.940746e+01  
11        1.50155402846e+05   0.000000e+00   -3.583744e+00  1.940744e+01  
12        1.50155400505e+05   0.000000e+00   -3.580751e+00  1.940742e+01  
13        1.50155397887e+05   0.000000e+00   -3.577546e+00  1.940740e+01  
14        1.50155395410e+05   0.000000e+00   -3.574156e+00  1.940738e+01  
15        1.50155393242e+05   0.000000e+00   -3.570589e+00  1.940736e+01  
16        1.50155390796e+05   0.000000e+00   -3.566843e+00  1.940734e+01  
17        1.50155388165e+05   0.000000e+00   -3.562937e+00  1.940731e+01  
18        1.50155385706e+05   0.000000e+00   -3.558922e+00  1.940729e+01  
19        1.50155383005e+05   0.000000e+00   -3.554885e+00  1.940727e+01  
20        1.50155380263e+05   0.000000e+00   -3.550946e+00  1.940726e+01  
21        1.50155377394e+05   0.000000e+00   -3.547232e+00  1.940724e+01  
22        1.50155374291e+05   0.000000e+00   -3.543860e+00  1.940722e+01  
23        1.50155371031e+05   0.000000e+00   -3.540931e+00  1.940721e+01  
24        1.50155367524e+05   0.000000e+00   -3.538510e+00  1.940719e+01  
25        1.50155363729e+05   0.000000e+00   -3.536635e+00  1.940718e+01  
26        1.50155359725e+05   0.000000e+00   -3.535311e+00  1.940717e+01  
27        1.50155355330e+05   0.000000e+00   -3.534523e+00  1.940716e+01  
28        1.50155350757e+05   0.000000e+00   -3.534235e+00  1.940715e+01  
29        1.50155345734e+05   0.000000e+00   -3.534402e+00  1.940715e+01  
30        1.50155340557e+05   0.000000e+00   -3.534971e+00  1.940714e+01  
31        1.50155334912e+05   0.000000e+00   -3.535887e+00  1.940714e+01  
32        1.50155329122e+05   0.000000e+00   -3.537098e+00  1.940714e+01  
33        1.50155322844e+05   0.000000e+00   -3.538555e+00  1.940714e+01  
34        1.50155316377e+05   0.000000e+00   -3.540213e+00  1.940715e+01  
35        1.50155309405e+05   0.000000e+00   -3.542032e+00  1.940715e+01  
36        1.50155302243e+05   0.000000e+00   -3.543980e+00  1.940716e+01  
37        1.50155294608e+05   0.000000e+00   -3.546025e+00  1.940717e+01  
38        1.50155286770e+05   0.000000e+00   -3.548143e+00  1.940717e+01  
39        1.50155278462e+05   0.000000e+00   -3.550311e+00  1.940719e+01  
40        1.50155269956e+05   0.000000e+00   -3.552511e+00  1.940720e+01  
41        1.50155261020e+05   0.000000e+00   -3.554724e+00  1.940721e+01  
42        1.50155251876e+05   0.000000e+00   -3.556935e+00  1.940722e+01  
43        1.50155242295e+05   0.000000e+00   -3.559131e+00  1.940724e+01  
44        1.50155232470e+05   0.000000e+00   -3.561299e+00  1.940725e+01  
45        1.50155222225e+05   0.000000e+00   -3.563429e+00  1.940727e+01  
46        1.50155211818e+05   0.000000e+00   -3.565510e+00  1.940729e+01  
47        1.50155201149e+05   0.000000e+00   -3.567535e+00  1.940730e+01  
48        1.50155190386e+05   0.000000e+00   -3.569494e+00  1.940732e+01  
49        1.50155179341e+05   0.000000e+00   -3.571380e+00  1.940734e+01  
50        1.50155168149e+05   0.000000e+00   -3.573188e+00  1.940735e+01  
51        1.50155156680e+05   0.000000e+00   -3.574910e+00  1.940737e+01  
52        1.50155145069e+05   0.000000e+00   -3.576542e+00  1.940739e+01  
53        1.50155133194e+05   0.000000e+00   -3.578078e+00  1.940740e+01  
54        1.50155121217e+05   0.000000e+00   -3.579515e+00  1.940742e+01  
55        1.50155109053e+05   0.000000e+00   -3.580849e+00  1.940743e+01  
56        1.50155096833e+05   0.000000e+00   -3.582077e+00  1.940745e+01  
57        1.50155084490e+05   0.000000e+00   -3.583196e+00  1.940746e+01  
58        1.50155072172e+05   0.000000e+00   -3.584204e+00  1.940747e+01  
59        1.50155059787e+05   0.000000e+00   -3.585100e+00  1.940748e+01  
60        1.50155047478e+05   0.000000e+00   -3.585883e+00  1.940750e+01  
61        1.50155035199e+05   0.000000e+00   -3.586551e+00  1.940751e+01  
62        1.50155023066e+05   0.000000e+00   -3.587106e+00  1.940751e+01  
63        1.50155010965e+05   0.000000e+00   -3.587546e+00  1.940752e+01  
64        1.50154999032e+05   0.000000e+00   -3.587874e+00  1.940753e+01  
65        1.50154987211e+05   0.000000e+00   -3.588093e+00  1.940753e+01  
66        1.50154975628e+05   0.000000e+00   -3.588202e+00  1.940754e+01  
67        1.50154964191e+05   0.000000e+00   -3.588204e+00  1.940754e+01  
68        1.50154953011e+05   0.000000e+00   -3.588100e+00  1.940754e+01  
69        1.50154941998e+05   0.000000e+00   -3.587890e+00  1.940755e+01  
70        1.50154931282e+05   0.000000e+00   -3.587579e+00  1.940755e+01  
71        1.50154920787e+05   0.000000e+00   -3.587172e+00  1.940754e+01  
72        1.50154910609e+05   0.000000e+00   -3.586676e+00  1.940754e+01  
73        1.50154900702e+05   0.000000e+00   -3.586096e+00  1.940754e+01  
74        1.50154891144e+05   0.000000e+00   -3.585438e+00  1.940753e+01  
75        1.50154881876e+05   0.000000e+00   -3.584705e+00  1.940753e+01  
76        1.50154873025e+05   0.000000e+00   -3.583897e+00  1.940752e+01  
77        1.50154864477e+05   0.000000e+00   -3.583013e+00  1.940751e+01  
78        1.50154856324e+05   0.000000e+00   -3.582057e+00  1.940750e+01  
79        1.50154848547e+05   0.000000e+00   -3.581037e+00  1.940750e+01  
80        1.50154841179e+05   0.000000e+00   -3.579965e+00  1.940749e+01  
81        1.50154834222e+05   0.000000e+00   -3.578852e+00  1.940747e+01  
82        1.50154827706e+05   0.000000e+00   -3.577705e+00  1.940746e+01  
83        1.50154821574e+05   0.000000e+00   -3.576527e+00  1.940745e+01  
84        1.50154815889e+05   0.000000e+00   -3.575324e+00  1.940744e+01  
85        1.50154810604e+05   0.000000e+00   -3.574103e+00  1.940743e+01  
86        1.50154805777e+05   0.000000e+00   -3.572874e+00  1.940741e+01  
87        1.50154801393e+05   0.000000e+00   -3.571647e+00  1.940740e+01  
88        1.50154797450e+05   0.000000e+00   -3.570425e+00  1.940739e+01  
89        1.50154793971e+05   0.000000e+00   -3.569212e+00  1.940737e+01  
90        1.50154790922e+05   0.000000e+00   -3.568003e+00  1.940736e+01  
91        1.50154788316e+05   0.000000e+00   -3.566792e+00  1.940735e+01  
92        1.50154786121e+05   0.000000e+00   -3.565579e+00  1.940733e+01  
93        1.50154784297e+05   0.000000e+00   -3.564371e+00  1.940732e+01  
94        1.50154782850e+05   0.000000e+00   -3.563184e+00  1.940731e+01  
95        1.50154781750e+05   0.000000e+00   -3.562038e+00  1.940729e+01  
96        1.50154781030e+05   0.000000e+00   -3.560952e+00  1.940728e+01  
97        1.50154780636e+05   0.000000e+00   -3.559943e+00  1.940727e+01  
98        1.50154780574e+05   0.000000e+00   -3.559025e+00  1.940726e+01  
99        1.50154780873e+05   0.000000e+00   -3.558207e+00  1.940725e+01  
100       1.50154781486e+05   0.000000e+00   -3.557491e+00  1.940724e+01  
101       1.50154782481e+05   0.000000e+00   -3.556866e+00  1.940723e+01  
102       1.50154783679e+05   0.000000e+00   -3.556311e+00  1.940722e+01  
103       1.50154785125e+05   0.000000e+00   -3.555805e+00  1.940722e+01  
104       1.50154786737e+05   0.000000e+00   -3.555334e+00  1.940721e+01  
105       1.50154788696e+05   0.000000e+00   -3.554896e+00  1.940720e+01  
106       1.50154790848e+05   0.000000e+00   -3.554499e+00  1.940720e+01  
107       1.50154793018e+05   0.000000e+00   -3.554161e+00  1.940720e+01  
108       1.50154795010e+05   0.000000e+00   -3.553902e+00  1.940719e+01  
109       1.50154796931e+05   0.000000e+00   -3.553740e+00  1.940719e+01  
110       1.50154799025e+05   0.000000e+00   -3.553684e+00  1.940719e+01  
111       1.50154801250e+05   0.000000e+00   -3.553740e+00  1.940719e+01  
112       1.50154803482e+05   0.000000e+00   -3.553909e+00  1.940719e+01  
113       1.50154805575e+05   0.000000e+00   -3.554186e+00  1.940719e+01  
114       1.50154807538e+05   0.000000e+00   -3.554561e+00  1.940720e+01  
115       1.50154809341e+05   0.000000e+00   -3.555020e+00  1.940720e+01  
116       1.50154811081e+05   0.000000e+00   -3.555546e+00  1.940720e+01  
117       1.50154812800e+05   0.000000e+00   -3.556119e+00  1.940721e+01  
118       1.50154814421e+05   0.000000e+00   -3.556727e+00  1.940722e+01  
119       1.50154815871e+05   0.000000e+00   -3.557364e+00  1.940722e+01  
120       1.50154817131e+05   0.000000e+00   -3.558037e+00  1.940723e+01  
121       1.50154818298e+05   0.000000e+00   -3.558759e+00  1.940724e+01  
122       1.50154819116e+05   0.000000e+00   -3.559547e+00  1.940725e+01  
123       1.50154819429e+05   0.000000e+00   -3.560413e+00  1.940726e+01  
124       1.50154819038e+05   0.000000e+00   -3.561360e+00  1.940727e+01  
125       1.50154818122e+05   0.000000e+00   -3.562384e+00  1.940728e+01  
126       1.50154816770e+05   0.000000e+00   -3.563468e+00  1.940729e+01  
127       1.50154815089e+05   0.000000e+00   -3.564592e+00  1.940730e+01  
128       1.50154813011e+05   0.000000e+00   -3.565730e+00  1.940731e+01  
129       1.50154810553e+05   0.000000e+00   -3.566864e+00  1.940732e+01  
130       1.50154807557e+05   0.000000e+00   -3.567977e+00  1.940733e+01  
131       1.50154804043e+05   0.000000e+00   -3.569063e+00  1.940734e+01  
132       1.50154799934e+05   0.000000e+00   -3.570120e+00  1.940735e+01  
