-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -8.469523e+00  1.527843e+00   0.000000e+00   6.911023e+01   -1.148575e+02  3.574986e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -8.475665e+00  1.534240e+00   0.000000e+00   6.913530e+01   -1.148990e+02  3.575378e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.465400e-19 
2         -8.481666e+00  1.541767e+00   0.000000e+00   6.916678e+01   -1.149511e+02  3.576092e+01   0.000000e+00   0.000000e+00   0.000000e+00   -6.062961e-19 
3         -8.485999e+00  1.549257e+00   0.000000e+00   6.920478e+01   -1.150141e+02  3.577405e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.716563e-19 
4         -8.487930e+00  1.555932e+00   0.000000e+00   6.924875e+01   -1.150869e+02  3.579433e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.067265e-18 
5         -8.487346e+00  1.561484e+00   0.000000e+00   6.929796e+01   -1.151685e+02  3.582171e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.181642e-18 
6         -8.484454e+00  1.565907e+00   0.000000e+00   6.935160e+01   -1.152574e+02  3.585549e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.691069e-18 
7         -8.479597e+00  1.569332e+00   0.000000e+00   6.940884e+01   -1.153524e+02  3.589466e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.957411e-18 
8         -8.473096e+00  1.571918e+00   0.000000e+00   6.946898e+01   -1.154523e+02  3.593833e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.925487e-18  
9         -8.465270e+00  1.573809e+00   0.000000e+00   6.953131e+01   -1.155560e+02  3.598559e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.997941e-18 
10        -8.456516e+00  1.575168e+00   0.000000e+00   6.959487e+01   -1.156618e+02  3.603526e+01   0.000000e+00   0.000000e+00   -0.000000e+00  5.068557e-18  
11        -8.447178e+00  1.576147e+00   0.000000e+00   6.965874e+01   -1.157683e+02  3.608624e+01   0.000000e+00   0.000000e+00   0.000000e+00   -5.077340e-18 
12        -8.437475e+00  1.576849e+00   0.000000e+00   6.972234e+01   -1.158745e+02  3.613784e+01   0.000000e+00   0.000000e+00   -0.000000e+00  5.197540e-18  
13        -8.427581e+00  1.577346e+00   0.000000e+00   6.978523e+01   -1.159796e+02  3.618949e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.044216e-18 
14        -8.417659e+00  1.577692e+00   0.000000e+00   6.984680e+01   -1.160827e+02  3.624054e+01   0.000000e+00   0.000000e+00   -0.000000e+00  4.296300e-18  
15        -8.407768e+00  1.577881e+00   0.000000e+00   6.990641e+01   -1.161825e+02  3.629048e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.811313e-18 
16        -8.397819e+00  1.577834e+00   0.000000e+00   6.996378e+01   -1.162787e+02  3.633925e+01   0.000000e+00   0.000000e+00   -0.000000e+00  4.846213e-18  
17        -8.387690e+00  1.577454e+00   0.000000e+00   7.001916e+01   -1.163715e+02  3.638717e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.334922e-18 
18        -8.377381e+00  1.576730e+00   0.000000e+00   7.007310e+01   -1.164618e+02  3.643458e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.048644e-18  
19        -8.367099e+00  1.575787e+00   0.000000e+00   7.012588e+01   -1.165501e+02  3.648129e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.972421e-18  
20        -8.357246e+00  1.574840e+00   0.000000e+00   7.017715e+01   -1.166357e+02  3.652644e+01   0.000000e+00   0.000000e+00   0.000000e+00   -5.195692e-18 
21        -8.348316e+00  1.574123e+00   0.000000e+00   7.022583e+01   -1.167169e+02  3.656859e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.933141e-18  
22        -8.340785e+00  1.573818e+00   0.000000e+00   7.027029e+01   -1.167909e+02  3.660602e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.128294e-18 
23        -8.335030e+00  1.574014e+00   0.000000e+00   7.030862e+01   -1.168547e+02  3.663702e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.136142e-18  
24        -8.331271e+00  1.574700e+00   0.000000e+00   7.033903e+01   -1.169052e+02  3.666023e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.203303e-18 
25        -8.329574e+00  1.575784e+00   0.000000e+00   7.036005e+01   -1.169401e+02  3.667471e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.821097e-18 
26        -8.329868e+00  1.577119e+00   0.000000e+00   7.037069e+01   -1.169577e+02  3.668007e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.080972e-19  
27        -8.331982e+00  1.578539e+00   0.000000e+00   7.037051e+01   -1.169574e+02  3.667635e+01   0.000000e+00   0.000000e+00   -0.000000e+00  9.696762e-19  
28        -8.335686e+00  1.579887e+00   0.000000e+00   7.035957e+01   -1.169391e+02  3.666399e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.714071e-18  
29        -8.340721e+00  1.581026e+00   0.000000e+00   7.033834e+01   -1.169038e+02  3.664370e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.170631e-18  
30        -8.346828e+00  1.581853e+00   0.000000e+00   7.030761e+01   -1.168526e+02  3.661635e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.253118e-19  
31        -8.353761e+00  1.582300e+00   0.000000e+00   7.026838e+01   -1.167874e+02  3.658293e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.158004e-18 
32        -8.361301e+00  1.582333e+00   0.000000e+00   7.022179e+01   -1.167098e+02  3.654442e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.289460e-18  
33        -8.369260e+00  1.581946e+00   0.000000e+00   7.016901e+01   -1.166220e+02  3.650180e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.880806e-19 
34        -8.377480e+00  1.581156e+00   0.000000e+00   7.011120e+01   -1.165258e+02  3.645597e+01   0.000000e+00   0.000000e+00   0.000000e+00   -8.246217e-19 
35        -8.385835e+00  1.579999e+00   0.000000e+00   7.004950e+01   -1.164231e+02  3.640776e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.509201e-18  
36        -8.394219e+00  1.578517e+00   0.000000e+00   6.998494e+01   -1.163156e+02  3.635792e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.914779e-19 
37        -8.402547e+00  1.576761e+00   0.000000e+00   6.991849e+01   -1.162049e+02  3.630714e+01   0.000000e+00   0.000000e+00   -0.000000e+00  5.983973e-20  
38        -8.410746e+00  1.574782e+00   0.000000e+00   6.985104e+01   -1.160926e+02  3.625601e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.283137e-18  
39        -8.418751e+00  1.572629e+00   0.000000e+00   6.978341e+01   -1.159799e+02  3.620510e+01   0.000000e+00   0.000000e+00   0.000000e+00   -6.944876e-19 
40        -8.426508e+00  1.570349e+00   0.000000e+00   6.971633e+01   -1.158681e+02  3.615491e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.108673e-19 
41        -8.433967e+00  1.567986e+00   0.000000e+00   6.965049e+01   -1.157583e+02  3.610589e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.356265e-18 
42        -8.441084e+00  1.565583e+00   0.000000e+00   6.958651e+01   -1.156516e+02  3.605847e+01   0.000000e+00   0.000000e+00   -0.000000e+00  8.985794e-19  
43        -8.447819e+00  1.563176e+00   0.000000e+00   6.952494e+01   -1.155490e+02  3.601303e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.780822e-18  
44        -8.454137e+00  1.560802e+00   0.000000e+00   6.946629e+01   -1.154511e+02  3.596989e+01   0.000000e+00   0.000000e+00   -0.000000e+00  5.700498e-18  
45        -8.460007e+00  1.558492e+00   0.000000e+00   6.941102e+01   -1.153589e+02  3.592938e+01   0.000000e+00   0.000000e+00   -0.000000e+00  8.314631e-19  
46        -8.465400e+00  1.556276e+00   0.000000e+00   6.935953e+01   -1.152730e+02  3.589175e+01   0.000000e+00   0.000000e+00   -0.000000e+00  4.035919e-18  
47        -8.470293e+00  1.554176e+00   0.000000e+00   6.931218e+01   -1.151939e+02  3.585724e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.129002e-18 
