
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.500000e+01 * a0, G = 1.527010e+04, G * par = 3.054021e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.295294e+00
     Dipolar cutoffs Rcut = 8.855733e+00, Lcut = 2.585887e+02

QF = 1, QDEPL = 0: h2 = 1.918624e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.696639e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.040448e+00, DY = 1.383708e-01, DZ = 1.383708e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 9.573243e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50368076063e+05   0.000000e+00   -9.052139e-01  2.587308e+01  
1         1.50368075583e+05   0.000000e+00   -9.054288e-01  2.587307e+01  
2         1.50368075066e+05   0.000000e+00   -9.056496e-01  2.587306e+01  
3         1.50368074532e+05   0.000000e+00   -9.058463e-01  2.587304e+01  
4         1.50368073988e+05   0.000000e+00   -9.059927e-01  2.587303e+01  
5         1.50368073469e+05   0.000000e+00   -9.060689e-01  2.587301e+01  
6         1.50368072979e+05   0.000000e+00   -9.060614e-01  2.587299e+01  
7         1.50368072551e+05   0.000000e+00   -9.059632e-01  2.587297e+01  
8         1.50368072187e+05   0.000000e+00   -9.057725e-01  2.587295e+01  
9         1.50368071912e+05   0.000000e+00   -9.054919e-01  2.587292e+01  
10        1.50368071721e+05   0.000000e+00   -9.051255e-01  2.587290e+01  
11        1.50368071635e+05   0.000000e+00   -9.046779e-01  2.587287e+01  
12        1.50368071651e+05   0.000000e+00   -9.041533e-01  2.587285e+01  
13        1.50368071773e+05   0.000000e+00   -9.035558e-01  2.587282e+01  
14        1.50368071994e+05   0.000000e+00   -9.028910e-01  2.587279e+01  
15        1.50368072334e+05   0.000000e+00   -9.021670e-01  2.587276e+01  
16        1.50368072779e+05   0.000000e+00   -9.013954e-01  2.587273e+01  
17        1.50368073336e+05   0.000000e+00   -9.005912e-01  2.587270e+01  
18        1.50368074001e+05   0.000000e+00   -8.997718e-01  2.587267e+01  
19        1.50368074776e+05   0.000000e+00   -8.989556e-01  2.587264e+01  
20        1.50368075658e+05   0.000000e+00   -8.981605e-01  2.587261e+01  
21        1.50368076651e+05   0.000000e+00   -8.974025e-01  2.587258e+01  
22        1.50368077747e+05   0.000000e+00   -8.966950e-01  2.587255e+01  
23        1.50368078954e+05   0.000000e+00   -8.960482e-01  2.587252e+01  
24        1.50368080262e+05   0.000000e+00   -8.954689e-01  2.587250e+01  
25        1.50368081677e+05   0.000000e+00   -8.949610e-01  2.587247e+01  
26        1.50368083188e+05   0.000000e+00   -8.945258e-01  2.587244e+01  
27        1.50368084799e+05   0.000000e+00   -8.941622e-01  2.587242e+01  
28        1.50368086500e+05   0.000000e+00   -8.938679e-01  2.587240e+01  
29        1.50368088291e+05   0.000000e+00   -8.936389e-01  2.587238e+01  
30        1.50368090162e+05   0.000000e+00   -8.934707e-01  2.587236e+01  
31        1.50368092109e+05   0.000000e+00   -8.933585e-01  2.587234e+01  
32        1.50368094124e+05   0.000000e+00   -8.932972e-01  2.587232e+01  
33        1.50368096199e+05   0.000000e+00   -8.932817e-01  2.587231e+01  
34        1.50368098324e+05   0.000000e+00   -8.933073e-01  2.587230e+01  
35        1.50368100491e+05   0.000000e+00   -8.933694e-01  2.587229e+01  
36        1.50368102686e+05   0.000000e+00   -8.934639e-01  2.587228e+01  
37        1.50368104901e+05   0.000000e+00   -8.935869e-01  2.587227e+01  
38        1.50368107124e+05   0.000000e+00   -8.937349e-01  2.587227e+01  
39        1.50368109343e+05   0.000000e+00   -8.939046e-01  2.587227e+01  
40        1.50368111545e+05   0.000000e+00   -8.940931e-01  2.587226e+01  
41        1.50368113718e+05   0.000000e+00   -8.942978e-01  2.587227e+01  
42        1.50368115850e+05   0.000000e+00   -8.945162e-01  2.587227e+01  
43        1.50368117932e+05   0.000000e+00   -8.947460e-01  2.587227e+01  
44        1.50368119957e+05   0.000000e+00   -8.949853e-01  2.587228e+01  
45        1.50368121919e+05   0.000000e+00   -8.952323e-01  2.587229e+01  
46        1.50368123801e+05   0.000000e+00   -8.954853e-01  2.587230e+01  
47        1.50368125586e+05   0.000000e+00   -8.957429e-01  2.587231e+01  
48        1.50368127252e+05   0.000000e+00   -8.960035e-01  2.587232e+01  
