
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.000000e+01 * a0, G = 1.257538e+04, G * par = 2.515076e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.572857e+00
     Dipolar cutoff Rcut = 4.976978e+00, Lcut = 1.711756e+02

QF = 1: h2 = 1.593143e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.987400e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.674619e+00, DY = 7.776528e-02, DZ = 7.776528e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 3.023719e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.703223e+01   1.701758e+01   4.993184e-01   4.993184e-01  
1         1.703222e+01   1.701758e+01   4.992155e-01   4.992155e-01  
2         1.703221e+01   1.701758e+01   4.990943e-01   4.990943e-01  
3         1.703221e+01   1.701758e+01   4.989550e-01   4.989550e-01  
4         1.703220e+01   1.701758e+01   4.987982e-01   4.987982e-01  
5         1.703218e+01   1.701758e+01   4.986246e-01   4.986246e-01  
6         1.703217e+01   1.701758e+01   4.984353e-01   4.984353e-01  
7         1.703216e+01   1.701758e+01   4.982316e-01   4.982316e-01  
8         1.703214e+01   1.701757e+01   4.980152e-01   4.980152e-01  
9         1.703213e+01   1.701757e+01   4.977879e-01   4.977879e-01  
10        1.703211e+01   1.701757e+01   4.975517e-01   4.975517e-01  
11        1.703209e+01   1.701757e+01   4.973086e-01   4.973086e-01  
12        1.703207e+01   1.701756e+01   4.970610e-01   4.970610e-01  
13        1.703206e+01   1.701756e+01   4.968110e-01   4.968110e-01  
14        1.703204e+01   1.701756e+01   4.965610e-01   4.965610e-01  
15        1.703202e+01   1.701755e+01   4.963133e-01   4.963133e-01  
16        1.703201e+01   1.701755e+01   4.960703e-01   4.960703e-01  
17        1.703199e+01   1.701755e+01   4.958342e-01   4.958342e-01  
18        1.703197e+01   1.701755e+01   4.956076e-01   4.956076e-01  
19        1.703196e+01   1.701754e+01   4.953927e-01   4.953927e-01  
20        1.703195e+01   1.701754e+01   4.951920e-01   4.951920e-01  
21        1.703193e+01   1.701754e+01   4.950078e-01   4.950078e-01  
22        1.703192e+01   1.701754e+01   4.948423e-01   4.948423e-01  
23        1.703191e+01   1.701754e+01   4.946976e-01   4.946976e-01  
24        1.703191e+01   1.701754e+01   4.945754e-01   4.945754e-01  
25        1.703190e+01   1.701754e+01   4.944771e-01   4.944771e-01  
26        1.703190e+01   1.701754e+01   4.944040e-01   4.944040e-01  
27        1.703190e+01   1.701755e+01   4.943569e-01   4.943569e-01  
28        1.703190e+01   1.701755e+01   4.943361e-01   4.943361e-01  
29        1.703191e+01   1.701755e+01   4.943417e-01   4.943417e-01  
30        1.703191e+01   1.701756e+01   4.943736e-01   4.943736e-01  
31        1.703192e+01   1.701756e+01   4.944310e-01   4.944310e-01  
32        1.703193e+01   1.701757e+01   4.945132e-01   4.945132e-01  
33        1.703195e+01   1.701757e+01   4.946188e-01   4.946188e-01  
34        1.703196e+01   1.701758e+01   4.947467e-01   4.947467e-01  
35        1.703198e+01   1.701759e+01   4.948950e-01   4.948950e-01  
36        1.703199e+01   1.701760e+01   4.950622e-01   4.950622e-01  
37        1.703201e+01   1.701761e+01   4.952463e-01   4.952463e-01  
38        1.703203e+01   1.701761e+01   4.954453e-01   4.954453e-01  
39        1.703205e+01   1.701762e+01   4.956570e-01   4.956570e-01  
40        1.703208e+01   1.701763e+01   4.958794e-01   4.958794e-01  
41        1.703210e+01   1.701764e+01   4.961102e-01   4.961102e-01  
42        1.703212e+01   1.701765e+01   4.963472e-01   4.963472e-01  
43        1.703215e+01   1.701766e+01   4.965883e-01   4.965883e-01  
44        1.703217e+01   1.701767e+01   4.968313e-01   4.968313e-01  
45        1.703219e+01   1.701768e+01   4.970739e-01   4.970739e-01  
46        1.703222e+01   1.701769e+01   4.973143e-01   4.973143e-01  
47        1.703224e+01   1.701770e+01   4.975503e-01   4.975503e-01  
48        1.703227e+01   1.701771e+01   4.977801e-01   4.977801e-01  
49        1.703229e+01   1.701772e+01   4.980019e-01   4.980019e-01  
50        1.703231e+01   1.701773e+01   4.982140e-01   4.982140e-01  
51        1.703233e+01   1.701774e+01   4.984147e-01   4.984147e-01  
52        1.703235e+01   1.701775e+01   4.986026e-01   4.986026e-01  
53        1.703237e+01   1.701776e+01   4.987763e-01   4.987763e-01  
54        1.703239e+01   1.701777e+01   4.989347e-01   4.989347e-01  
55        1.703241e+01   1.701778e+01   4.990766e-01   4.990766e-01  
56        1.703243e+01   1.701779e+01   4.992013e-01   4.992013e-01  
57        1.703244e+01   1.701780e+01   4.993080e-01   4.993080e-01  
58        1.703246e+01   1.701781e+01   4.993960e-01   4.993960e-01  
59        1.703247e+01   1.701782e+01   4.994651e-01   4.994651e-01  
60        1.703248e+01   1.701783e+01   4.995149e-01   4.995149e-01  
61        1.703249e+01   1.701784e+01   4.995452e-01   4.995452e-01  
62        1.703250e+01   1.701784e+01   4.995563e-01   4.995563e-01  
63        1.703251e+01   1.701785e+01   4.995482e-01   4.995482e-01  
64        1.703252e+01   1.701786e+01   4.995214e-01   4.995214e-01  
65        1.703252e+01   1.701787e+01   4.994761e-01   4.994761e-01  
66        1.703253e+01   1.701788e+01   4.994132e-01   4.994132e-01  
67        1.703253e+01   1.701789e+01   4.993333e-01   4.993333e-01  
68        1.703253e+01   1.701790e+01   4.992372e-01   4.992372e-01  
69        1.703254e+01   1.701790e+01   4.991259e-01   4.991259e-01  
70        1.703254e+01   1.701791e+01   4.990005e-01   4.990005e-01  
71        1.703254e+01   1.701792e+01   4.988621e-01   4.988621e-01  
72        1.703254e+01   1.701793e+01   4.987120e-01   4.987120e-01  
73        1.703254e+01   1.701794e+01   4.985515e-01   4.985515e-01  
74        1.703254e+01   1.701795e+01   4.983820e-01   4.983820e-01  
75        1.703254e+01   1.701796e+01   4.982050e-01   4.982050e-01  
76        1.703253e+01   1.701797e+01   4.980219e-01   4.980219e-01  
77        1.703253e+01   1.701798e+01   4.978342e-01   4.978342e-01  
78        1.703253e+01   1.701799e+01   4.976436e-01   4.976436e-01  
79        1.703253e+01   1.701800e+01   4.974516e-01   4.974516e-01  
80        1.703253e+01   1.701801e+01   4.972597e-01   4.972597e-01  
81        1.703253e+01   1.701802e+01   4.970696e-01   4.970696e-01  
82        1.703253e+01   1.701803e+01   4.968827e-01   4.968827e-01  
83        1.703253e+01   1.701804e+01   4.967005e-01   4.967005e-01  
84        1.703253e+01   1.701805e+01   4.965245e-01   4.965245e-01  
85        1.703254e+01   1.701807e+01   4.963561e-01   4.963561e-01  
86        1.703254e+01   1.701808e+01   4.961965e-01   4.961965e-01  
87        1.703255e+01   1.701809e+01   4.960470e-01   4.960470e-01  
88        1.703255e+01   1.701811e+01   4.959088e-01   4.959088e-01  
89        1.703256e+01   1.701813e+01   4.957830e-01   4.957830e-01  
90        1.703257e+01   1.701814e+01   4.956704e-01   4.956704e-01  
91        1.703258e+01   1.701816e+01   4.955719e-01   4.955719e-01  
92        1.703260e+01   1.701818e+01   4.954883e-01   4.954883e-01  
93        1.703261e+01   1.701819e+01   4.954202e-01   4.954202e-01  
94        1.703263e+01   1.701821e+01   4.953680e-01   4.953680e-01  
95        1.703264e+01   1.701823e+01   4.953320e-01   4.953320e-01  
96        1.703266e+01   1.701825e+01   4.953126e-01   4.953126e-01  
97        1.703268e+01   1.701827e+01   4.953096e-01   4.953096e-01  
98        1.703271e+01   1.701830e+01   4.953231e-01   4.953231e-01  
99        1.703273e+01   1.701832e+01   4.953528e-01   4.953528e-01  
100       1.703276e+01   1.701834e+01   4.953983e-01   4.953983e-01  
101       1.703278e+01   1.701837e+01   4.954592e-01   4.954592e-01  
102       1.703281e+01   1.701839e+01   4.955349e-01   4.955349e-01  
103       1.703285e+01   1.701842e+01   4.956248e-01   4.956248e-01  
104       1.703288e+01   1.701845e+01   4.957282e-01   4.957282e-01  
105       1.703292e+01   1.701848e+01   4.958442e-01   4.958442e-01  
106       1.703295e+01   1.701851e+01   4.959718e-01   4.959718e-01  
107       1.703300e+01   1.701854e+01   4.961100e-01   4.961100e-01  
108       1.703304e+01   1.701857e+01   4.962577e-01   4.962577e-01  
109       1.703308e+01   1.701861e+01   4.964138e-01   4.964138e-01  
110       1.703313e+01   1.701865e+01   4.965770e-01   4.965770e-01  
111       1.703318e+01   1.701869e+01   4.967460e-01   4.967460e-01  
112       1.703324e+01   1.701874e+01   4.969196e-01   4.969196e-01  
113       1.703330e+01   1.701879e+01   4.970965e-01   4.970965e-01  
114       1.703337e+01   1.701884e+01   4.972757e-01   4.972757e-01  
115       1.703344e+01   1.701891e+01   4.974562e-01   4.974562e-01  
116       1.703353e+01   1.701899e+01   4.976374e-01   4.976374e-01  
117       1.703363e+01   1.701908e+01   4.978191e-01   4.978191e-01  
118       1.703375e+01   1.701919e+01   4.980014e-01   4.980014e-01  
119       1.703390e+01   1.701932e+01   4.981852e-01   4.981852e-01  
120       1.703409e+01   1.701950e+01   4.983722e-01   4.983722e-01  
121       1.703433e+01   1.701973e+01   4.985654e-01   4.985654e-01  
122       1.703464e+01   1.702003e+01   4.987693e-01   4.987693e-01  
123       1.703504e+01   1.702042e+01   4.989900e-01   4.989900e-01  
124       1.703557e+01   1.702093e+01   4.992356e-01   4.992356e-01  
125       1.703623e+01   1.702158e+01   4.995163e-01   4.995163e-01  
126       1.703705e+01   1.702238e+01   4.998443e-01   4.998443e-01  
127       1.703804e+01   1.702335e+01   5.002342e-01   5.002342e-01  
128       1.703918e+01   1.702446e+01   5.007020e-01   5.007020e-01  
129       1.704046e+01   1.702571e+01   5.012658e-01   5.012658e-01  
130       1.704186e+01   1.702707e+01   5.019448e-01   5.019448e-01  
131       1.704334e+01   1.702850e+01   5.027592e-01   5.027592e-01  
132       1.704488e+01   1.702999e+01   5.037290e-01   5.037290e-01  
133       1.704647e+01   1.703151e+01   5.048734e-01   5.048734e-01  
134       1.704806e+01   1.703303e+01   5.062095e-01   5.062095e-01  
135       1.704964e+01   1.703452e+01   5.077522e-01   5.077522e-01  
