
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.251136e+00
     Dipolar cutoffs Rcut = 1.046777e+01, Lcut = 2.887877e+02

QF = 1, QDEPL = 0: h2 = 1.989378e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.514595e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512308e+00, DY = 1.635589e-01, DZ = 1.635589e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 1.337576e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50620381532e+05   0.000000e+00   -5.322738e-01  2.891425e+01  
1         1.50620381135e+05   0.000000e+00   -5.323671e-01  2.891424e+01  
2         1.50620380715e+05   0.000000e+00   -5.324615e-01  2.891422e+01  
3         1.50620380279e+05   0.000000e+00   -5.325442e-01  2.891420e+01  
4         1.50620379839e+05   0.000000e+00   -5.326031e-01  2.891418e+01  
5         1.50620379400e+05   0.000000e+00   -5.326284e-01  2.891416e+01  
6         1.50620378975e+05   0.000000e+00   -5.326131e-01  2.891414e+01  
7         1.50620378568e+05   0.000000e+00   -5.325528e-01  2.891411e+01  
8         1.50620378188e+05   0.000000e+00   -5.324458e-01  2.891409e+01  
9         1.50620377838e+05   0.000000e+00   -5.322916e-01  2.891406e+01  
10        1.50620377525e+05   0.000000e+00   -5.320912e-01  2.891403e+01  
11        1.50620377252e+05   0.000000e+00   -5.318457e-01  2.891400e+01  
12        1.50620377026e+05   0.000000e+00   -5.315573e-01  2.891397e+01  
13        1.50620376846e+05   0.000000e+00   -5.312291e-01  2.891393e+01  
14        1.50620376717e+05   0.000000e+00   -5.308660e-01  2.891390e+01  
15        1.50620376645e+05   0.000000e+00   -5.304745e-01  2.891386e+01  
16        1.50620376631e+05   0.000000e+00   -5.300626e-01  2.891382e+01  
17        1.50620376680e+05   0.000000e+00   -5.296395e-01  2.891379e+01  
18        1.50620376796e+05   0.000000e+00   -5.292144e-01  2.891375e+01  
19        1.50620376983e+05   0.000000e+00   -5.287963e-01  2.891371e+01  
20        1.50620377245e+05   0.000000e+00   -5.283931e-01  2.891367e+01  
21        1.50620377587e+05   0.000000e+00   -5.280117e-01  2.891364e+01  
22        1.50620378012e+05   0.000000e+00   -5.276572e-01  2.891360e+01  
23        1.50620378526e+05   0.000000e+00   -5.273332e-01  2.891356e+01  
24        1.50620379131e+05   0.000000e+00   -5.270420e-01  2.891353e+01  
25        1.50620379832e+05   0.000000e+00   -5.267847e-01  2.891349e+01  
26        1.50620380630e+05   0.000000e+00   -5.265612e-01  2.891346e+01  
27        1.50620381530e+05   0.000000e+00   -5.263709e-01  2.891342e+01  
28        1.50620382531e+05   0.000000e+00   -5.262122e-01  2.891339e+01  
29        1.50620383635e+05   0.000000e+00   -5.260835e-01  2.891336e+01  
30        1.50620384843e+05   0.000000e+00   -5.259826e-01  2.891333e+01  
31        1.50620386153e+05   0.000000e+00   -5.259074e-01  2.891331e+01  
32        1.50620387566e+05   0.000000e+00   -5.258557e-01  2.891328e+01  
33        1.50620389078e+05   0.000000e+00   -5.258254e-01  2.891326e+01  
