
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.900000e+01 * a0, G = 1.598870e+04, G * par = 3.197739e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.237079e+00
     Dipolar cutoff Rcut = 1.112924e+01, Lcut = 3.020498e+02

QF = 1: h2 = 2.013402e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.457960e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.719528e+00, DY = 1.738944e-01, DZ = 1.738944e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.511963e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.710910e+01   2.706263e+01   1.121914e+00   1.121914e+00  
1         2.710909e+01   2.706263e+01   1.121743e+00   1.121743e+00  
2         2.710908e+01   2.706264e+01   1.121564e+00   1.121564e+00  
3         2.710908e+01   2.706266e+01   1.121379e+00   1.121379e+00  
4         2.710909e+01   2.706268e+01   1.121186e+00   1.121186e+00  
5         2.710910e+01   2.706271e+01   1.120986e+00   1.120986e+00  
6         2.710911e+01   2.706274e+01   1.120780e+00   1.120780e+00  
7         2.710913e+01   2.706278e+01   1.120568e+00   1.120568e+00  
8         2.710916e+01   2.706282e+01   1.120350e+00   1.120350e+00  
9         2.710919e+01   2.706287e+01   1.120126e+00   1.120126e+00  
10        2.710923e+01   2.706292e+01   1.119897e+00   1.119897e+00  
11        2.710927e+01   2.706298e+01   1.119663e+00   1.119663e+00  
12        2.710931e+01   2.706305e+01   1.119426e+00   1.119426e+00  
13        2.710936e+01   2.706312e+01   1.119185e+00   1.119185e+00  
14        2.710942e+01   2.706320e+01   1.118941e+00   1.118941e+00  
15        2.710948e+01   2.706328e+01   1.118695e+00   1.118695e+00  
16        2.710955e+01   2.706337e+01   1.118449e+00   1.118449e+00  
17        2.710962e+01   2.706346e+01   1.118202e+00   1.118202e+00  
18        2.710970e+01   2.706356e+01   1.117955e+00   1.117955e+00  
19        2.710979e+01   2.706367e+01   1.117710e+00   1.117710e+00  
20        2.710988e+01   2.706378e+01   1.117468e+00   1.117468e+00  
21        2.710998e+01   2.706390e+01   1.117229e+00   1.117229e+00  
22        2.711008e+01   2.706402e+01   1.116994e+00   1.116994e+00  
23        2.711019e+01   2.706415e+01   1.116764e+00   1.116764e+00  
24        2.711031e+01   2.706429e+01   1.116539e+00   1.116539e+00  
25        2.711043e+01   2.706443e+01   1.116322e+00   1.116322e+00  
26        2.711056e+01   2.706458e+01   1.116111e+00   1.116111e+00  
27        2.711070e+01   2.706473e+01   1.115908e+00   1.115908e+00  
28        2.711085e+01   2.706489e+01   1.115713e+00   1.115713e+00  
29        2.711100e+01   2.706506e+01   1.115527e+00   1.115527e+00  
30        2.711115e+01   2.706523e+01   1.115351e+00   1.115351e+00  
31        2.711132e+01   2.706541e+01   1.115183e+00   1.115183e+00  
32        2.711149e+01   2.706560e+01   1.115026e+00   1.115026e+00  
33        2.711167e+01   2.706579e+01   1.114878e+00   1.114878e+00  
34        2.711186e+01   2.706599e+01   1.114741e+00   1.114741e+00  
35        2.711205e+01   2.706619e+01   1.114615e+00   1.114615e+00  
36        2.711225e+01   2.706640e+01   1.114498e+00   1.114498e+00  
37        2.711246e+01   2.706662e+01   1.114392e+00   1.114392e+00  
38        2.711268e+01   2.706684e+01   1.114297e+00   1.114297e+00  
39        2.711290e+01   2.706707e+01   1.114212e+00   1.114212e+00  
40        2.711313e+01   2.706731e+01   1.114137e+00   1.114137e+00  
41        2.711337e+01   2.706756e+01   1.114072e+00   1.114072e+00  
42        2.711362e+01   2.706781e+01   1.114017e+00   1.114017e+00  
43        2.711387e+01   2.706806e+01   1.113972e+00   1.113972e+00  
44        2.711413e+01   2.706833e+01   1.113937e+00   1.113937e+00  
45        2.711440e+01   2.706860e+01   1.113911e+00   1.113911e+00  
46        2.711467e+01   2.706887e+01   1.113894e+00   1.113894e+00  
47        2.711495e+01   2.706915e+01   1.113886e+00   1.113886e+00  
48        2.711524e+01   2.706944e+01   1.113886e+00   1.113886e+00  
49        2.711554e+01   2.706974e+01   1.113894e+00   1.113894e+00  
50        2.711584e+01   2.707004e+01   1.113911e+00   1.113911e+00  
51        2.711615e+01   2.707035e+01   1.113934e+00   1.113934e+00  
52        2.711647e+01   2.707067e+01   1.113965e+00   1.113965e+00  
53        2.711679e+01   2.707099e+01   1.114003e+00   1.114003e+00  
54        2.711713e+01   2.707132e+01   1.114047e+00   1.114047e+00  
55        2.711747e+01   2.707165e+01   1.114097e+00   1.114097e+00  
56        2.711781e+01   2.707200e+01   1.114153e+00   1.114153e+00  
57        2.711816e+01   2.707235e+01   1.114215e+00   1.114215e+00  
58        2.711853e+01   2.707270e+01   1.114281e+00   1.114281e+00  
59        2.711889e+01   2.707306e+01   1.114352e+00   1.114352e+00  
60        2.711927e+01   2.707343e+01   1.114428e+00   1.114428e+00  
61        2.711965e+01   2.707381e+01   1.114507e+00   1.114507e+00  
