
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.800000e+01 * a0, G = 1.401257e+04, G * par = 2.802513e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.411538e+00
     Dipolar cutoffs Rcut = 6.520532e+00, Lcut = 2.093893e+02

QF = 1, QDEPL = 0: h2 = 1.761005e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.206189e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.271708e+00, DY = 1.018833e-01, DZ = 1.018833e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 5.190105e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50228648015e+05   0.000000e+00   -2.082113e+00  2.099762e+01  
1         1.50228647600e+05   0.000000e+00   -2.083306e+00  2.099762e+01  
2         1.50228646853e+05   0.000000e+00   -2.084823e+00  2.099762e+01  
3         1.50228645715e+05   0.000000e+00   -2.086490e+00  2.099763e+01  
4         1.50228644407e+05   0.000000e+00   -2.088169e+00  2.099765e+01  
5         1.50228642597e+05   0.000000e+00   -2.089770e+00  2.099768e+01  
6         1.50228640593e+05   0.000000e+00   -2.091245e+00  2.099771e+01  
7         1.50228638108e+05   0.000000e+00   -2.092572e+00  2.099774e+01  
8         1.50228635458e+05   0.000000e+00   -2.093745e+00  2.099778e+01  
9         1.50228632421e+05   0.000000e+00   -2.094774e+00  2.099783e+01  
10        1.50228629247e+05   0.000000e+00   -2.095677e+00  2.099789e+01  
11        1.50228625781e+05   0.000000e+00   -2.096469e+00  2.099795e+01  
12        1.50228622236e+05   0.000000e+00   -2.097158e+00  2.099801e+01  
13        1.50228618336e+05   0.000000e+00   -2.097740e+00  2.099808e+01  
14        1.50228614322e+05   0.000000e+00   -2.098203e+00  2.099816e+01  
15        1.50228610148e+05   0.000000e+00   -2.098528e+00  2.099825e+01  
16        1.50228605720e+05   0.000000e+00   -2.098702e+00  2.099834e+01  
17        1.50228600937e+05   0.000000e+00   -2.098724e+00  2.099843e+01  
18        1.50228595976e+05   0.000000e+00   -2.098612e+00  2.099853e+01  
19        1.50228590615e+05   0.000000e+00   -2.098404e+00  2.099864e+01  
20        1.50228584972e+05   0.000000e+00   -2.098150e+00  2.099875e+01  
21        1.50228578928e+05   0.000000e+00   -2.097904e+00  2.099887e+01  
22        1.50228572498e+05   0.000000e+00   -2.097718e+00  2.099899e+01  
23        1.50228565621e+05   0.000000e+00   -2.097635e+00  2.099912e+01  
24        1.50228558303e+05   0.000000e+00   -2.097684e+00  2.099926e+01  
25        1.50228550467e+05   0.000000e+00   -2.097883e+00  2.099940e+01  
26        1.50228542148e+05   0.000000e+00   -2.098235e+00  2.099954e+01  
27        1.50228533244e+05   0.000000e+00   -2.098734e+00  2.099969e+01  
28        1.50228523820e+05   0.000000e+00   -2.099368e+00  2.099985e+01  
29        1.50228513756e+05   0.000000e+00   -2.100116e+00  2.100001e+01  
30        1.50228503136e+05   0.000000e+00   -2.100957e+00  2.100018e+01  
31        1.50228491837e+05   0.000000e+00   -2.101867e+00  2.100035e+01  
32        1.50228479946e+05   0.000000e+00   -2.102824e+00  2.100052e+01  
33        1.50228467335e+05   0.000000e+00   -2.103806e+00  2.100070e+01  
34        1.50228454074e+05   0.000000e+00   -2.104793e+00  2.100089e+01  
35        1.50228440046e+05   0.000000e+00   -2.105769e+00  2.100108e+01  
