
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.700000e+01 * a0, G = 1.383292e+04, G * par = 2.766584e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.429870e+00
     Dipolar cutoff Rcut = 6.281637e+00, Lcut = 2.038374e+02

QF = 1: h2 = 1.739320e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.290593e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.184959e+00, DY = 9.815058e-02, DZ = 9.815058e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 4.816768e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.045265e+01   2.043337e+01   6.278205e-01   6.278205e-01  
1         2.045264e+01   2.043337e+01   6.277020e-01   6.277020e-01  
2         2.045263e+01   2.043337e+01   6.275663e-01   6.275663e-01  
3         2.045262e+01   2.043337e+01   6.274135e-01   6.274135e-01  
4         2.045261e+01   2.043337e+01   6.272441e-01   6.272441e-01  
5         2.045260e+01   2.043336e+01   6.270586e-01   6.270586e-01  
6         2.045258e+01   2.043336e+01   6.268579e-01   6.268579e-01  
7         2.045257e+01   2.043336e+01   6.266427e-01   6.266427e-01  
8         2.045255e+01   2.043336e+01   6.264143e-01   6.264143e-01  
9         2.045253e+01   2.043335e+01   6.261740e-01   6.261740e-01  
10        2.045251e+01   2.043335e+01   6.259231e-01   6.259231e-01  
11        2.045249e+01   2.043334e+01   6.256632e-01   6.256632e-01  
12        2.045247e+01   2.043334e+01   6.253961e-01   6.253961e-01  
13        2.045245e+01   2.043333e+01   6.251235e-01   6.251235e-01  
14        2.045243e+01   2.043333e+01   6.248472e-01   6.248472e-01  
15        2.045240e+01   2.043332e+01   6.245691e-01   6.245691e-01  
16        2.045238e+01   2.043332e+01   6.242912e-01   6.242912e-01  
17        2.045236e+01   2.043331e+01   6.240155e-01   6.240155e-01  
18        2.045234e+01   2.043331e+01   6.237441e-01   6.237441e-01  
19        2.045232e+01   2.043330e+01   6.234791e-01   6.234791e-01  
20        2.045230e+01   2.043330e+01   6.232225e-01   6.232225e-01  
21        2.045228e+01   2.043329e+01   6.229764e-01   6.229764e-01  
22        2.045226e+01   2.043329e+01   6.227427e-01   6.227427e-01  
23        2.045224e+01   2.043328e+01   6.225233e-01   6.225233e-01  
24        2.045222e+01   2.043328e+01   6.223200e-01   6.223200e-01  
25        2.045221e+01   2.043327e+01   6.221342e-01   6.221342e-01  
26        2.045219e+01   2.043327e+01   6.219673e-01   6.219673e-01  
27        2.045218e+01   2.043327e+01   6.218205e-01   6.218205e-01  
28        2.045217e+01   2.043326e+01   6.216946e-01   6.216946e-01  
29        2.045216e+01   2.043326e+01   6.215903e-01   6.215903e-01  
30        2.045215e+01   2.043326e+01   6.215081e-01   6.215081e-01  
31        2.045215e+01   2.043326e+01   6.214483e-01   6.214483e-01  
32        2.045215e+01   2.043326e+01   6.214109e-01   6.214109e-01  
33        2.045214e+01   2.043326e+01   6.213958e-01   6.213958e-01  
34        2.045214e+01   2.043326e+01   6.214027e-01   6.214027e-01  
35        2.045215e+01   2.043326e+01   6.214311e-01   6.214311e-01  
36        2.045215e+01   2.043326e+01   6.214804e-01   6.214804e-01  
37        2.045215e+01   2.043326e+01   6.215499e-01   6.215499e-01  
38        2.045216e+01   2.043326e+01   6.216386e-01   6.216386e-01  
39        2.045217e+01   2.043326e+01   6.217455e-01   6.217455e-01  
40        2.045218e+01   2.043326e+01   6.218697e-01   6.218697e-01  
41        2.045219e+01   2.043326e+01   6.220100e-01   6.220100e-01  
42        2.045220e+01   2.043326e+01   6.221651e-01   6.221651e-01  
43        2.045221e+01   2.043326e+01   6.223338e-01   6.223338e-01  
44        2.045222e+01   2.043327e+01   6.225147e-01   6.225147e-01  
45        2.045224e+01   2.043327e+01   6.227066e-01   6.227066e-01  
46        2.045225e+01   2.043327e+01   6.229080e-01   6.229080e-01  
47        2.045226e+01   2.043327e+01   6.231176e-01   6.231176e-01  
48        2.045228e+01   2.043327e+01   6.233340e-01   6.233340e-01  
49        2.045230e+01   2.043328e+01   6.235557e-01   6.235557e-01  
50        2.045231e+01   2.043328e+01   6.237815e-01   6.237815e-01  
51        2.045233e+01   2.043328e+01   6.240099e-01   6.240099e-01  
52        2.045234e+01   2.043328e+01   6.242395e-01   6.242395e-01  
53        2.045236e+01   2.043328e+01   6.244692e-01   6.244692e-01  
54        2.045237e+01   2.043328e+01   6.246976e-01   6.246976e-01  
55        2.045239e+01   2.043329e+01   6.249235e-01   6.249235e-01  
56        2.045240e+01   2.043329e+01   6.251458e-01   6.251458e-01  
57        2.045242e+01   2.043329e+01   6.253633e-01   6.253633e-01  
58        2.045243e+01   2.043329e+01   6.255749e-01   6.255749e-01  
59        2.045244e+01   2.043329e+01   6.257797e-01   6.257797e-01  
60        2.045246e+01   2.043329e+01   6.259767e-01   6.259767e-01  
61        2.045247e+01   2.043329e+01   6.261650e-01   6.261650e-01  
