-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -1.036801e+01  1.782076e+00   0.000000e+00   7.821764e+01   -1.341492e+02  4.378146e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -1.037599e+01  1.790574e+00   0.000000e+00   7.824866e+01   -1.342022e+02  4.378693e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.328306e-19  
2         -1.038327e+01  1.800276e+00   0.000000e+00   7.828753e+01   -1.342685e+02  4.379746e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.145089e-18 
3         -1.038779e+01  1.809514e+00   0.000000e+00   7.833403e+01   -1.343479e+02  4.381661e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.129065e-18 
4         -1.038881e+01  1.817304e+00   0.000000e+00   7.838713e+01   -1.344386e+02  4.384539e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.334318e-18  
5         -1.038642e+01  1.823380e+00   0.000000e+00   7.844567e+01   -1.345386e+02  4.388316e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.147265e-18 
6         -1.038111e+01  1.827868e+00   0.000000e+00   7.850843e+01   -1.346459e+02  4.392850e+01   0.000000e+00   0.000000e+00   -0.000000e+00  4.876124e-18  
7         -1.037351e+01  1.831045e+00   0.000000e+00   7.857418e+01   -1.347584e+02  4.397965e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.339015e-18  
8         -1.036417e+01  1.833191e+00   0.000000e+00   7.864184e+01   -1.348743e+02  4.403507e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.215814e-18  
9         -1.035357e+01  1.834532e+00   0.000000e+00   7.871039e+01   -1.349918e+02  4.409335e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.482494e-18 
10        -1.034227e+01  1.835296e+00   0.000000e+00   7.877850e+01   -1.351088e+02  4.415278e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.400875e-18 
