
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.500000e+01 * a0, G = 1.527010e+04, G * par = 3.054021e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.295294e+00
     Dipolar cutoff Rcut = 8.855733e+00, Lcut = 2.585887e+02

QF = 1: h2 = 1.918624e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.696639e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.040448e+00, DY = 1.383708e-01, DZ = 1.383708e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 9.573243e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.587308e+01   2.584266e+01   8.869372e-01   8.869372e-01  
1         2.587307e+01   2.584266e+01   8.867842e-01   8.867842e-01  
2         2.587306e+01   2.584266e+01   8.866106e-01   8.866106e-01  
3         2.587304e+01   2.584266e+01   8.864165e-01   8.864165e-01  
4         2.587303e+01   2.584266e+01   8.862023e-01   8.862023e-01  
5         2.587301e+01   2.584265e+01   8.859687e-01   8.859687e-01  
6         2.587299e+01   2.584265e+01   8.857161e-01   8.857161e-01  
7         2.587297e+01   2.584265e+01   8.854453e-01   8.854453e-01  
8         2.587295e+01   2.584265e+01   8.851572e-01   8.851572e-01  
9         2.587292e+01   2.584265e+01   8.848527e-01   8.848527e-01  
10        2.587290e+01   2.584264e+01   8.845330e-01   8.845330e-01  
11        2.587287e+01   2.584264e+01   8.841993e-01   8.841993e-01  
12        2.587285e+01   2.584264e+01   8.838530e-01   8.838530e-01  
13        2.587282e+01   2.584263e+01   8.834955e-01   8.834955e-01  
14        2.587279e+01   2.584263e+01   8.831284e-01   8.831284e-01  
15        2.587276e+01   2.584262e+01   8.827534e-01   8.827534e-01  
16        2.587273e+01   2.584262e+01   8.823721e-01   8.823721e-01  
17        2.587270e+01   2.584262e+01   8.819864e-01   8.819864e-01  
18        2.587267e+01   2.584261e+01   8.815981e-01   8.815981e-01  
19        2.587264e+01   2.584261e+01   8.812091e-01   8.812091e-01  
20        2.587261e+01   2.584260e+01   8.808214e-01   8.808214e-01  
21        2.587258e+01   2.584260e+01   8.804367e-01   8.804367e-01  
22        2.587255e+01   2.584260e+01   8.800569e-01   8.800569e-01  
23        2.587252e+01   2.584260e+01   8.796837e-01   8.796837e-01  
24        2.587250e+01   2.584259e+01   8.793190e-01   8.793190e-01  
25        2.587247e+01   2.584259e+01   8.789641e-01   8.789641e-01  
26        2.587244e+01   2.584259e+01   8.786208e-01   8.786208e-01  
27        2.587242e+01   2.584259e+01   8.782902e-01   8.782902e-01  
28        2.587240e+01   2.584259e+01   8.779738e-01   8.779738e-01  
29        2.587238e+01   2.584259e+01   8.776726e-01   8.776726e-01  
30        2.587236e+01   2.584259e+01   8.773877e-01   8.773877e-01  
31        2.587234e+01   2.584259e+01   8.771200e-01   8.771200e-01  
32        2.587232e+01   2.584259e+01   8.768702e-01   8.768702e-01  
33        2.587231e+01   2.584259e+01   8.766390e-01   8.766390e-01  
34        2.587230e+01   2.584259e+01   8.764270e-01   8.764270e-01  
35        2.587229e+01   2.584260e+01   8.762345e-01   8.762345e-01  
36        2.587228e+01   2.584260e+01   8.760619e-01   8.760619e-01  
37        2.587227e+01   2.584260e+01   8.759094e-01   8.759094e-01  
38        2.587227e+01   2.584261e+01   8.757771e-01   8.757771e-01  
39        2.587227e+01   2.584261e+01   8.756651e-01   8.756651e-01  
40        2.587226e+01   2.584262e+01   8.755732e-01   8.755732e-01  
41        2.587227e+01   2.584262e+01   8.755014e-01   8.755014e-01  
42        2.587227e+01   2.584263e+01   8.754494e-01   8.754494e-01  
43        2.587227e+01   2.584263e+01   8.754170e-01   8.754170e-01  
44        2.587228e+01   2.584264e+01   8.754037e-01   8.754037e-01  
45        2.587229e+01   2.584265e+01   8.754092e-01   8.754092e-01  
46        2.587230e+01   2.584266e+01   8.754331e-01   8.754331e-01  
47        2.587231e+01   2.584267e+01   8.754747e-01   8.754747e-01  
48        2.587232e+01   2.584267e+01   8.755335e-01   8.755335e-01  
49        2.587233e+01   2.584268e+01   8.756089e-01   8.756089e-01  
50        2.587235e+01   2.584269e+01   8.757002e-01   8.757002e-01  
