
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.300000e+01 * a0, G = 1.131784e+04, G * par = 2.263568e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.747619e+00
     Dipolar cutoff Rcut = 4.070366e+00, Lcut = 1.479451e+02

QF = 1: h2 = 1.456453e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.933481e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.311642e+00, DY = 6.359947e-02, DZ = 6.359947e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 2.022446e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.490950e+01   1.489845e+01   4.057287e-01   4.057287e-01  
1         1.490949e+01   1.489845e+01   4.056357e-01   4.056357e-01  
2         1.490949e+01   1.489845e+01   4.055258e-01   4.055258e-01  
3         1.490948e+01   1.489845e+01   4.053994e-01   4.053994e-01  
4         1.490947e+01   1.489845e+01   4.052573e-01   4.052573e-01  
5         1.490946e+01   1.489845e+01   4.051007e-01   4.051007e-01  
6         1.490945e+01   1.489844e+01   4.049315e-01   4.049315e-01  
7         1.490943e+01   1.489844e+01   4.047518e-01   4.047518e-01  
8         1.490942e+01   1.489844e+01   4.045638e-01   4.045638e-01  
9         1.490940e+01   1.489843e+01   4.043701e-01   4.043701e-01  
10        1.490939e+01   1.489843e+01   4.041733e-01   4.041733e-01  
11        1.490937e+01   1.489842e+01   4.039761e-01   4.039761e-01  
12        1.490936e+01   1.489842e+01   4.037811e-01   4.037811e-01  
13        1.490934e+01   1.489841e+01   4.035909e-01   4.035909e-01  
14        1.490932e+01   1.489841e+01   4.034080e-01   4.034080e-01  
15        1.490931e+01   1.489840e+01   4.032348e-01   4.032348e-01  
16        1.490929e+01   1.489839e+01   4.030734e-01   4.030734e-01  
17        1.490928e+01   1.489839e+01   4.029262e-01   4.029262e-01  
18        1.490927e+01   1.489838e+01   4.027951e-01   4.027951e-01  
19        1.490925e+01   1.489838e+01   4.026823e-01   4.026823e-01  
20        1.490924e+01   1.489837e+01   4.025897e-01   4.025897e-01  
21        1.490924e+01   1.489836e+01   4.025192e-01   4.025192e-01  
22        1.490923e+01   1.489836e+01   4.024720e-01   4.024720e-01  
23        1.490922e+01   1.489835e+01   4.024495e-01   4.024495e-01  
24        1.490922e+01   1.489835e+01   4.024523e-01   4.024523e-01  
25        1.490922e+01   1.489835e+01   4.024806e-01   4.024806e-01  
26        1.490922e+01   1.489834e+01   4.025341e-01   4.025341e-01  
27        1.490922e+01   1.489834e+01   4.026122e-01   4.026122e-01  
28        1.490922e+01   1.489834e+01   4.027134e-01   4.027134e-01  
29        1.490923e+01   1.489834e+01   4.028363e-01   4.028363e-01  
30        1.490923e+01   1.489834e+01   4.029789e-01   4.029789e-01  
31        1.490924e+01   1.489833e+01   4.031389e-01   4.031389e-01  
32        1.490925e+01   1.489833e+01   4.033138e-01   4.033138e-01  
33        1.490926e+01   1.489833e+01   4.035010e-01   4.035010e-01  
34        1.490926e+01   1.489833e+01   4.036976e-01   4.036976e-01  
35        1.490927e+01   1.489833e+01   4.039010e-01   4.039010e-01  
36        1.490928e+01   1.489833e+01   4.041083e-01   4.041083e-01  
37        1.490929e+01   1.489833e+01   4.043167e-01   4.043167e-01  
38        1.490930e+01   1.489832e+01   4.045237e-01   4.045237e-01  
39        1.490931e+01   1.489832e+01   4.047265e-01   4.047265e-01  
40        1.490932e+01   1.489832e+01   4.049229e-01   4.049229e-01  
41        1.490933e+01   1.489832e+01   4.051104e-01   4.051104e-01  
42        1.490934e+01   1.489832e+01   4.052870e-01   4.052870e-01  
43        1.490934e+01   1.489831e+01   4.054507e-01   4.054507e-01  
44        1.490935e+01   1.489831e+01   4.055998e-01   4.055998e-01  
45        1.490935e+01   1.489831e+01   4.057327e-01   4.057327e-01  
46        1.490936e+01   1.489830e+01   4.058481e-01   4.058481e-01  
47        1.490936e+01   1.489830e+01   4.059451e-01   4.059451e-01  
48        1.490936e+01   1.489829e+01   4.060228e-01   4.060228e-01  
49        1.490935e+01   1.489829e+01   4.060806e-01   4.060806e-01  
50        1.490935e+01   1.489828e+01   4.061182e-01   4.061182e-01  
51        1.490934e+01   1.489828e+01   4.061353e-01   4.061353e-01  
52        1.490934e+01   1.489827e+01   4.061322e-01   4.061322e-01  
53        1.490933e+01   1.489826e+01   4.061090e-01   4.061090e-01  
54        1.490932e+01   1.489826e+01   4.060663e-01   4.060663e-01  
55        1.490931e+01   1.489825e+01   4.060049e-01   4.060049e-01  
56        1.490930e+01   1.489824e+01   4.059257e-01   4.059257e-01  
57        1.490928e+01   1.489823e+01   4.058299e-01   4.058299e-01  
58        1.490927e+01   1.489822e+01   4.057187e-01   4.057187e-01  
59        1.490925e+01   1.489821e+01   4.055938e-01   4.055938e-01  
60        1.490923e+01   1.489820e+01   4.054567e-01   4.054567e-01  
61        1.490922e+01   1.489819e+01   4.053092e-01   4.053092e-01  
62        1.490920e+01   1.489818e+01   4.051532e-01   4.051532e-01  
63        1.490918e+01   1.489817e+01   4.049906e-01   4.049906e-01  
64        1.490916e+01   1.489816e+01   4.048235e-01   4.048235e-01  
65        1.490914e+01   1.489815e+01   4.046539e-01   4.046539e-01  
66        1.490912e+01   1.489814e+01   4.044839e-01   4.044839e-01  
67        1.490910e+01   1.489813e+01   4.043154e-01   4.043154e-01  
68        1.490908e+01   1.489812e+01   4.041506e-01   4.041506e-01  
69        1.490906e+01   1.489811e+01   4.039913e-01   4.039913e-01  
70        1.490904e+01   1.489809e+01   4.038396e-01   4.038396e-01  
71        1.490902e+01   1.489808e+01   4.036971e-01   4.036971e-01  
72        1.490900e+01   1.489807e+01   4.035656e-01   4.035656e-01  
73        1.490898e+01   1.489806e+01   4.034466e-01   4.034466e-01  
74        1.490896e+01   1.489805e+01   4.033415e-01   4.033415e-01  
75        1.490895e+01   1.489804e+01   4.032518e-01   4.032518e-01  
76        1.490893e+01   1.489802e+01   4.031784e-01   4.031784e-01  
77        1.490892e+01   1.489801e+01   4.031227e-01   4.031227e-01  
78        1.490890e+01   1.489800e+01   4.030854e-01   4.030854e-01  
79        1.490889e+01   1.489799e+01   4.030678e-01   4.030678e-01  
80        1.490888e+01   1.489798e+01   4.030710e-01   4.030710e-01  
81        1.490887e+01   1.489797e+01   4.030966e-01   4.030966e-01  
82        1.490888e+01   1.489797e+01   4.031472e-01   4.031472e-01  
83        1.490891e+01   1.489800e+01   4.032267e-01   4.032267e-01  
84        1.490899e+01   1.489807e+01   4.033413e-01   4.033413e-01  
85        1.490915e+01   1.489822e+01   4.035005e-01   4.035005e-01  
86        1.490941e+01   1.489848e+01   4.037177e-01   4.037177e-01  
87        1.490981e+01   1.489885e+01   4.040108e-01   4.040108e-01  
88        1.491031e+01   1.489933e+01   4.044031e-01   4.044031e-01  
89        1.491087e+01   1.489987e+01   4.049240e-01   4.049240e-01  
90        1.491140e+01   1.490037e+01   4.056088e-01   4.056088e-01  
91        1.491184e+01   1.490076e+01   4.064996e-01   4.064996e-01  
92        1.491215e+01   1.490100e+01   4.076434e-01   4.076434e-01  
93        1.491232e+01   1.490109e+01   4.090893e-01   4.090893e-01  
94        1.491245e+01   1.490112e+01   4.108854e-01   4.108854e-01  
95        1.491298e+01   1.490153e+01   4.130839e-01   4.130839e-01  
96        1.491716e+01   1.490556e+01   4.158089e-01   4.158089e-01  
97        1.492049e+01   1.490872e+01   4.189731e-01   4.189731e-01  
98        1.490792e+01   1.489597e+01   4.220672e-01   4.220672e-01  
99        1.491386e+01   1.490167e+01   4.263461e-01   4.263461e-01  
100       1.490028e+01   1.488784e+01   4.304550e-01   4.304550e-01  
101       1.490790e+01   1.489516e+01   4.357807e-01   4.357807e-01  
102       1.489079e+01   1.487773e+01   4.407823e-01   4.407823e-01  
103       1.490146e+01   1.488803e+01   4.472594e-01   4.472594e-01  
104       1.488745e+01   1.487361e+01   4.537551e-01   4.537551e-01  
105       1.490323e+01   1.488896e+01   4.609480e-01   4.609480e-01  
106       1.489022e+01   1.487546e+01   4.687864e-01   4.687864e-01  
107       1.490814e+01   1.489289e+01   4.766544e-01   4.766544e-01  
108       1.489201e+01   1.487617e+01   4.856047e-01   4.856047e-01  
109       1.491092e+01   1.489455e+01   4.939901e-01   4.939901e-01  
110       1.489366e+01   1.487659e+01   5.039924e-01   5.039924e-01  
111       1.491087e+01   1.489325e+01   5.124739e-01   5.124739e-01  
112       1.490255e+01   1.488416e+01   5.234159e-01   5.234159e-01  
113       1.491526e+01   1.489626e+01   5.322387e-01   5.322387e-01  
114       1.489814e+01   1.487830e+01   5.434431e-01   5.434431e-01  
115       1.492042e+01   1.489990e+01   5.530424e-01   5.530424e-01  
116       1.490166e+01   1.488025e+01   5.646901e-01   5.646901e-01  
117       1.490984e+01   1.488774e+01   5.738257e-01   5.738257e-01  
118       1.490823e+01   1.488510e+01   5.869973e-01   5.869973e-01  
119       1.491453e+01   1.489069e+01   5.960211e-01   5.960211e-01  
120       1.490563e+01   1.488073e+01   6.090076e-01   6.090076e-01  
121       1.492183e+01   1.489616e+01   6.187260e-01   6.187260e-01  
122       1.491121e+01   1.488436e+01   6.324607e-01   6.324607e-01  
123       1.493328e+01   1.490561e+01   6.424755e-01   6.424755e-01  
124       1.491691e+01   1.488799e+01   6.564859e-01   6.564859e-01  
125       1.493999e+01   1.491022e+01   6.665793e-01   6.665793e-01  
