
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.100000e+01 * a0, G = 1.455151e+04, G * par = 2.910302e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.359259e+00
     Dipolar cutoff Rcut = 7.355496e+00, Lcut = 2.278574e+02

QF = 1: h2 = 1.827296e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.971559e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.560272e+00, DY = 1.149296e-01, DZ = 1.149296e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 6.604409e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.284334e+01   2.281963e+01   7.357225e-01   7.357225e-01  
1         2.284333e+01   2.281963e+01   7.355901e-01   7.355901e-01  
2         2.284332e+01   2.281963e+01   7.354393e-01   7.354393e-01  
3         2.284331e+01   2.281963e+01   7.352704e-01   7.352704e-01  
4         2.284330e+01   2.281963e+01   7.350837e-01   7.350837e-01  
5         2.284328e+01   2.281963e+01   7.348797e-01   7.348797e-01  
6         2.284327e+01   2.281963e+01   7.346590e-01   7.346590e-01  
7         2.284325e+01   2.281962e+01   7.344225e-01   7.344225e-01  
8         2.284323e+01   2.281962e+01   7.341712e-01   7.341712e-01  
9         2.284321e+01   2.281962e+01   7.339060e-01   7.339060e-01  
10        2.284319e+01   2.281961e+01   7.336283e-01   7.336283e-01  
11        2.284316e+01   2.281961e+01   7.333394e-01   7.333394e-01  
12        2.284314e+01   2.281960e+01   7.330408e-01   7.330408e-01  
13        2.284312e+01   2.281960e+01   7.327341e-01   7.327341e-01  
14        2.284309e+01   2.281959e+01   7.324210e-01   7.324210e-01  
15        2.284306e+01   2.281959e+01   7.321031e-01   7.321031e-01  
16        2.284304e+01   2.281958e+01   7.317823e-01   7.317823e-01  
17        2.284301e+01   2.281958e+01   7.314606e-01   7.314606e-01  
