-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -4.039712e+00  9.153006e-01   0.000000e+00   4.254091e+01   -6.393579e+01  1.643986e+01   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -4.041728e+00  9.175481e-01   0.000000e+00   4.255343e+01   -6.395459e+01  1.644188e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.925637e-19  
2         -4.043766e+00  9.201879e-01   0.000000e+00   4.256901e+01   -6.397798e+01  1.644502e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.285760e-19 
3         -4.045431e+00  9.229461e-01   0.000000e+00   4.258779e+01   -6.400618e+01  1.645001e+01   0.000000e+00   0.000000e+00   0.000000e+00   -6.825497e-19 
4         -4.046460e+00  9.256003e-01   0.000000e+00   4.260973e+01   -6.403912e+01  1.645733e+01   0.000000e+00   0.000000e+00   0.000000e+00   -2.439864e-19 
5         -4.046732e+00  9.280188e-01   0.000000e+00   4.263465e+01   -6.407654e+01  1.646714e+01   0.000000e+00   0.000000e+00   -0.000000e+00  1.643673e-18  
6         -4.046227e+00  9.301470e-01   0.000000e+00   4.266233e+01   -6.411812e+01  1.647942e+01   0.000000e+00   0.000000e+00   0.000000e+00   -1.519166e-18 
7         -4.044982e+00  9.319795e-01   0.000000e+00   4.269249e+01   -6.416346e+01  1.649401e+01   0.000000e+00   0.000000e+00   -0.000000e+00  2.285964e-19  
8         -4.043061e+00  9.335344e-01   0.000000e+00   4.272488e+01   -6.421216e+01  1.651069e+01   0.000000e+00   0.000000e+00   0.000000e+00   -9.970529e-19 
9         -4.040551e+00  9.348425e-01   0.000000e+00   4.275916e+01   -6.426376e+01  1.652921e+01   0.000000e+00   0.000000e+00   0.000000e+00   -8.745620e-19 
10        -4.037560e+00  9.359445e-01   0.000000e+00   4.279494e+01   -6.431768e+01  1.654923e+01   0.000000e+00   0.000000e+00   -0.000000e+00  5.942913e-19  
11        -4.034189e+00  9.368809e-01   0.000000e+00   4.283186e+01   -6.437336e+01  1.657042e+01   0.000000e+00   0.000000e+00   0.000000e+00   -7.150918e-18 
12        -4.030515e+00  9.376840e-01   0.000000e+00   4.286962e+01   -6.443034e+01  1.659252e+01   0.000000e+00   0.000000e+00   -0.000000e+00  8.528594e-18  
13        -4.026597e+00  9.383758e-01   0.000000e+00   4.290795e+01   -6.448824e+01  1.661532e+01   0.000000e+00   0.000000e+00   0.000000e+00   -5.661159e-18 
14        -4.022469e+00  9.389651e-01   0.000000e+00   4.294662e+01   -6.454670e+01  1.663865e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.918047e-18  
15        -4.018142e+00  9.394446e-01   0.000000e+00   4.298545e+01   -6.460542e+01  1.666239e+01   0.000000e+00   0.000000e+00   0.000000e+00   -3.169048e-18 
16        -4.013608e+00  9.397992e-01   0.000000e+00   4.302437e+01   -6.466429e+01  1.668652e+01   0.000000e+00   0.000000e+00   -0.000000e+00  3.366251e-19  
17        -4.008881e+00  9.400236e-01   0.000000e+00   4.306338e+01   -6.472329e+01  1.671101e+01   0.000000e+00   0.000000e+00   0.000000e+00   -4.118695e-18 
