-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -7.646966e-01  3.012859e-01   0.000000e+00   1.348627e+01   -1.735824e+01  2.805979e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -7.648661e-01  3.015522e-01   0.000000e+00   1.348964e+01   -1.736260e+01  2.806536e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.400547e-20 
2         -7.650451e-01  3.018540e-01   0.000000e+00   1.349348e+01   -1.736756e+01  2.807185e+00   0.000000e+00   0.000000e+00   0.000000e+00   -8.342557e-20 
3         -7.652107e-01  3.021773e-01   0.000000e+00   1.349782e+01   -1.737318e+01  2.807972e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.171931e-19 
4         -7.653427e-01  3.025084e-01   0.000000e+00   1.350268e+01   -1.737947e+01  2.808938e+00   0.000000e+00   0.000000e+00   -0.000000e+00  2.587597e-19  
5         -7.654250e-01  3.028360e-01   0.000000e+00   1.350807e+01   -1.738644e+01  2.810113e+00   0.000000e+00   0.000000e+00   0.000000e+00   -2.106435e-19 
6         -7.654468e-01  3.031515e-01   0.000000e+00   1.351399e+01   -1.739411e+01  2.811518e+00   0.000000e+00   0.000000e+00   -0.000000e+00  6.607425e-19  
7         -7.654022e-01  3.034495e-01   0.000000e+00   1.352044e+01   -1.740246e+01  2.813164e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.527406e-18 
8         -7.652893e-01  3.037271e-01   0.000000e+00   1.352740e+01   -1.741147e+01  2.815049e+00   0.000000e+00   0.000000e+00   -0.000000e+00  9.191673e-19  
9         -7.651091e-01  3.039836e-01   0.000000e+00   1.353484e+01   -1.742110e+01  2.817168e+00   0.000000e+00   0.000000e+00   0.000000e+00   -2.907006e-19 
10        -7.648643e-01  3.042190e-01   0.000000e+00   1.354274e+01   -1.743134e+01  2.819509e+00   0.000000e+00   0.000000e+00   -0.000000e+00  2.422078e-18  
11        -7.645575e-01  3.044342e-01   0.000000e+00   1.355107e+01   -1.744213e+01  2.822063e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.734214e-19 
12        -7.641918e-01  3.046299e-01   0.000000e+00   1.355982e+01   -1.745346e+01  2.824819e+00   0.000000e+00   0.000000e+00   -0.000000e+00  2.388011e-18  
13        -7.637707e-01  3.048071e-01   0.000000e+00   1.356895e+01   -1.746529e+01  2.827765e+00   0.000000e+00   0.000000e+00   0.000000e+00   -5.061461e-18 
14        -7.632991e-01  3.049676e-01   0.000000e+00   1.357846e+01   -1.747761e+01  2.830888e+00   0.000000e+00   0.000000e+00   -0.000000e+00  4.406561e-19  
15        -7.627844e-01  3.051142e-01   0.000000e+00   1.358830e+01   -1.749037e+01  2.834167e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.545800e-18 
16        -7.622368e-01  3.052510e-01   0.000000e+00   1.359844e+01   -1.750350e+01  2.837575e+00   0.000000e+00   0.000000e+00   -0.000000e+00  3.659436e-18  
17        -7.616685e-01  3.053829e-01   0.000000e+00   1.360881e+01   -1.751694e+01  2.841076e+00   0.000000e+00   0.000000e+00   -0.000000e+00  5.637459e-19  
18        -7.610931e-01  3.055152e-01   0.000000e+00   1.361934e+01   -1.753057e+01  2.844626e+00   0.000000e+00   0.000000e+00   -0.000000e+00  5.728019e-19  
19        -7.605247e-01  3.056530e-01   0.000000e+00   1.362992e+01   -1.754428e+01  2.848178e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.071268e-18 
20        -7.599760e-01  3.058002e-01   0.000000e+00   1.364045e+01   -1.755791e+01  2.851685e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.045721e-19  
21        -7.594583e-01  3.059596e-01   0.000000e+00   1.365082e+01   -1.757133e+01  2.855099e+00   0.000000e+00   0.000000e+00   -0.000000e+00  4.185705e-18  
22        -7.589806e-01  3.061323e-01   0.000000e+00   1.366091e+01   -1.758440e+01  2.858378e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.627949e-18 
23        -7.585493e-01  3.063183e-01   0.000000e+00   1.367062e+01   -1.759697e+01  2.861487e+00   0.000000e+00   0.000000e+00   -0.000000e+00  2.024775e-18  
24        -7.581684e-01  3.065161e-01   0.000000e+00   1.367986e+01   -1.760894e+01  2.864396e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.198841e-19 
25        -7.578398e-01  3.067235e-01   0.000000e+00   1.368855e+01   -1.762020e+01  2.867082e+00   0.000000e+00   0.000000e+00   -0.000000e+00  5.997026e-19  
26        -7.575636e-01  3.069375e-01   0.000000e+00   1.369664e+01   -1.763067e+01  2.869531e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.868152e-18  
27        -7.573383e-01  3.071549e-01   0.000000e+00   1.370406e+01   -1.764029e+01  2.871734e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.362532e-18 
28        -7.571615e-01  3.073725e-01   0.000000e+00   1.371080e+01   -1.764902e+01  2.873687e+00   0.000000e+00   0.000000e+00   -0.000000e+00  9.947321e-19  
29        -7.570300e-01  3.075870e-01   0.000000e+00   1.371682e+01   -1.765683e+01  2.875392e+00   0.000000e+00   0.000000e+00   0.000000e+00   -5.646714e-19 
30        -7.569400e-01  3.077955e-01   0.000000e+00   1.372213e+01   -1.766372e+01  2.876852e+00   0.000000e+00   0.000000e+00   -0.000000e+00  5.420900e-19  
31        -7.568879e-01  3.079954e-01   0.000000e+00   1.372674e+01   -1.766969e+01  2.878076e+00   0.000000e+00   0.000000e+00   0.000000e+00   -6.300472e-18 
32        -7.568696e-01  3.081845e-01   0.000000e+00   1.373064e+01   -1.767476e+01  2.879072e+00   0.000000e+00   0.000000e+00   -0.000000e+00  3.063914e-18  
33        -7.568816e-01  3.083609e-01   0.000000e+00   1.373386e+01   -1.767895e+01  2.879850e+00   0.000000e+00   0.000000e+00   0.000000e+00   -5.384001e-18 
34        -7.569204e-01  3.085232e-01   0.000000e+00   1.373642e+01   -1.768228e+01  2.880424e+00   0.000000e+00   0.000000e+00   -0.000000e+00  6.537599e-18  
35        -7.569825e-01  3.086704e-01   0.000000e+00   1.373834e+01   -1.768480e+01  2.880803e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.821263e-18 
36        -7.570651e-01  3.088016e-01   0.000000e+00   1.373967e+01   -1.768654e+01  2.881001e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.041261e-17  
37        -7.571654e-01  3.089165e-01   0.000000e+00   1.374042e+01   -1.768753e+01  2.881029e+00   0.000000e+00   0.000000e+00   0.000000e+00   -8.924648e-18 
38        -7.572810e-01  3.090148e-01   0.000000e+00   1.374063e+01   -1.768782e+01  2.880898e+00   0.000000e+00   0.000000e+00   -0.000000e+00  9.129522e-18  
39        -7.574097e-01  3.090965e-01   0.000000e+00   1.374033e+01   -1.768746e+01  2.880621e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.642546e-18 
40        -7.575493e-01  3.091617e-01   0.000000e+00   1.373955e+01   -1.768647e+01  2.880207e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.080005e-17  
41        -7.576982e-01  3.092107e-01   0.000000e+00   1.373833e+01   -1.768490e+01  2.879668e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.350277e-17 
42        -7.578547e-01  3.092439e-01   0.000000e+00   1.373669e+01   -1.768280e+01  2.879014e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.519401e-17  
43        -7.580174e-01  3.092618e-01   0.000000e+00   1.373466e+01   -1.768019e+01  2.878254e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.632820e-17 
44        -7.581850e-01  3.092648e-01   0.000000e+00   1.373228e+01   -1.767713e+01  2.877398e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.621485e-17  
45        -7.583562e-01  3.092537e-01   0.000000e+00   1.372957e+01   -1.767363e+01  2.876455e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.526661e-17 
46        -7.585301e-01  3.092290e-01   0.000000e+00   1.372656e+01   -1.766975e+01  2.875433e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.647471e-17  
47        -7.587057e-01  3.091914e-01   0.000000e+00   1.372327e+01   -1.766551e+01  2.874341e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.477760e-17 
48        -7.588822e-01  3.091416e-01   0.000000e+00   1.371974e+01   -1.766095e+01  2.873185e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.455404e-17  
49        -7.590587e-01  3.090804e-01   0.000000e+00   1.371599e+01   -1.765610e+01  2.871973e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.516522e-17 
50        -7.592347e-01  3.090084e-01   0.000000e+00   1.371204e+01   -1.765100e+01  2.870713e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.516250e-17  
51        -7.594096e-01  3.089264e-01   0.000000e+00   1.370791e+01   -1.764566e+01  2.869410e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.425804e-17 
52        -7.595827e-01  3.088351e-01   0.000000e+00   1.370363e+01   -1.764012e+01  2.868071e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.634573e-17  
53        -7.597536e-01  3.087351e-01   0.000000e+00   1.369921e+01   -1.763440e+01  2.866702e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.440264e-17 
54        -7.599220e-01  3.086273e-01   0.000000e+00   1.369468e+01   -1.762853e+01  2.865308e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.312336e-17  
55        -7.600874e-01  3.085122e-01   0.000000e+00   1.369005e+01   -1.762254e+01  2.863895e+00   0.000000e+00   0.000000e+00   0.000000e+00   -1.146661e-17 
56        -7.602495e-01  3.083906e-01   0.000000e+00   1.368535e+01   -1.761645e+01  2.862467e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.301055e-17  
57        -7.604080e-01  3.082631e-01   0.000000e+00   1.368058e+01   -1.761028e+01  2.861029e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.141249e-18 
58        -7.605626e-01  3.081303e-01   0.000000e+00   1.367577e+01   -1.760405e+01  2.859586e+00   0.000000e+00   0.000000e+00   -0.000000e+00  6.571572e-18  
59        -7.607132e-01  3.079930e-01   0.000000e+00   1.367093e+01   -1.759778e+01  2.858142e+00   0.000000e+00   0.000000e+00   0.000000e+00   -8.028213e-18 
60        -7.608595e-01  3.078517e-01   0.000000e+00   1.366608e+01   -1.759149e+01  2.856701e+00   0.000000e+00   0.000000e+00   -0.000000e+00  8.254269e-18  
61        -7.610014e-01  3.077069e-01   0.000000e+00   1.366123e+01   -1.758520e+01  2.855267e+00   0.000000e+00   0.000000e+00   0.000000e+00   -4.527741e-18 
62        -7.611388e-01  3.075593e-01   0.000000e+00   1.365639e+01   -1.757893e+01  2.853843e+00   0.000000e+00   0.000000e+00   -0.000000e+00  5.707666e-18  
63        -7.612715e-01  3.074094e-01   0.000000e+00   1.365157e+01   -1.757268e+01  2.852432e+00   0.000000e+00   0.000000e+00   0.000000e+00   -5.397261e-18 
64        -7.613994e-01  3.072578e-01   0.000000e+00   1.364679e+01   -1.756649e+01  2.851037e+00   0.000000e+00   0.000000e+00   -0.000000e+00  9.344375e-18  
65        -7.615224e-01  3.071050e-01   0.000000e+00   1.364206e+01   -1.756035e+01  2.849662e+00   0.000000e+00   0.000000e+00   0.000000e+00   -6.926489e-18 
66        -7.616405e-01  3.069514e-01   0.000000e+00   1.363739e+01   -1.755429e+01  2.848309e+00   0.000000e+00   0.000000e+00   -0.000000e+00  7.060478e-18  
