
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.200000e+01 * a0, G = 1.473116e+04, G * par = 2.946232e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.342683e+00
     Dipolar cutoff Rcut = 7.680842e+00, Lcut = 2.348104e+02

QF = 1: h2 = 1.849810e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.899035e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.668913e+00, DY = 1.200132e-01, DZ = 1.200132e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 7.201579e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.352497e+01   2.349985e+01   7.685470e-01   7.685470e-01  
1         2.352496e+01   2.349985e+01   7.684103e-01   7.684103e-01  
2         2.352495e+01   2.349985e+01   7.682547e-01   7.682547e-01  
3         2.352494e+01   2.349985e+01   7.680805e-01   7.680805e-01  
4         2.352493e+01   2.349985e+01   7.678880e-01   7.678880e-01  
5         2.352491e+01   2.349985e+01   7.676778e-01   7.676778e-01  
6         2.352489e+01   2.349984e+01   7.674504e-01   7.674504e-01  
7         2.352487e+01   2.349984e+01   7.672067e-01   7.672067e-01  
8         2.352485e+01   2.349984e+01   7.669475e-01   7.669475e-01  
9         2.352483e+01   2.349983e+01   7.666740e-01   7.666740e-01  
10        2.352481e+01   2.349983e+01   7.663873e-01   7.663873e-01  
11        2.352479e+01   2.349983e+01   7.660888e-01   7.660888e-01  
12        2.352476e+01   2.349982e+01   7.657799e-01   7.657799e-01  
13        2.352474e+01   2.349982e+01   7.654621e-01   7.654621e-01  
14        2.352471e+01   2.349981e+01   7.651370e-01   7.651370e-01  
15        2.352469e+01   2.349981e+01   7.648065e-01   7.648065e-01  
16        2.352466e+01   2.349980e+01   7.644722e-01   7.644722e-01  
17        2.352463e+01   2.349980e+01   7.641361e-01   7.641361e-01  
