
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.300000e+01 * a0, G = 1.311432e+04, G * par = 2.622865e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.508219e+00
     Dipolar cutoff Rcut = 5.466522e+00, Lcut = 1.842791e+02

QF = 1: h2 = 1.654601e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.663916e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.879361e+00, DY = 8.541441e-02, DZ = 8.541441e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 3.647810e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.845268e+01   1.843647e+01   5.467234e-01   5.467234e-01  
1         1.845267e+01   1.843647e+01   5.466377e-01   5.466377e-01  
2         1.845268e+01   1.843648e+01   5.465651e-01   5.465651e-01  
3         1.845269e+01   1.843650e+01   5.465052e-01   5.465052e-01  
4         1.845270e+01   1.843651e+01   5.464577e-01   5.464577e-01  
5         1.845272e+01   1.843654e+01   5.464224e-01   5.464224e-01  
6         1.845275e+01   1.843656e+01   5.463987e-01   5.463987e-01  
7         1.845278e+01   1.843660e+01   5.463863e-01   5.463863e-01  
8         1.845282e+01   1.843663e+01   5.463849e-01   5.463849e-01  
9         1.845286e+01   1.843668e+01   5.463939e-01   5.463939e-01  
10        1.845291e+01   1.843672e+01   5.464131e-01   5.464131e-01  
11        1.845296e+01   1.843677e+01   5.464418e-01   5.464418e-01  
12        1.845302e+01   1.843683e+01   5.464797e-01   5.464797e-01  
13        1.845308e+01   1.843689e+01   5.465262e-01   5.465262e-01  
14        1.845315e+01   1.843695e+01   5.465808e-01   5.465808e-01  
15        1.845322e+01   1.843702e+01   5.466428e-01   5.466428e-01  
16        1.845330e+01   1.843710e+01   5.467118e-01   5.467118e-01  
17        1.845338e+01   1.843717e+01   5.467871e-01   5.467871e-01  
18        1.845347e+01   1.843726e+01   5.468684e-01   5.468684e-01  
19        1.845356e+01   1.843734e+01   5.469551e-01   5.469551e-01  
20        1.845366e+01   1.843744e+01   5.470471e-01   5.470471e-01  
21        1.845376e+01   1.843753e+01   5.471440e-01   5.471440e-01  
22        1.845387e+01   1.843763e+01   5.472456e-01   5.472456e-01  
23        1.845398e+01   1.843774e+01   5.473515e-01   5.473515e-01  
24        1.845410e+01   1.843785e+01   5.474615e-01   5.474615e-01  
25        1.845422e+01   1.843796e+01   5.475752e-01   5.475752e-01  
26        1.845435e+01   1.843808e+01   5.476921e-01   5.476921e-01  
27        1.845448e+01   1.843821e+01   5.478118e-01   5.478118e-01  
28        1.845461e+01   1.843834e+01   5.479337e-01   5.479337e-01  
29        1.845475e+01   1.843847e+01   5.480571e-01   5.480571e-01  
30        1.845489e+01   1.843860e+01   5.481811e-01   5.481811e-01  
31        1.845504e+01   1.843875e+01   5.483050e-01   5.483050e-01  
32        1.845520e+01   1.843889e+01   5.484280e-01   5.484280e-01  
33        1.845535e+01   1.843904e+01   5.485490e-01   5.485490e-01  
34        1.845552e+01   1.843920e+01   5.486673e-01   5.486673e-01  
